srcNodeId,dstNodeId,bandwidth,latency
9,3,500.0,653.5502363113421
20,8,50.0,284.26
14,2,100.0,394.33
5,12,50.0,508.35
13,22,1000.0,483.5790882464336
5,17,500.0,247.12
20,5,100.0,276.14
20,9,500.0,544.2637068973144
5,14,500.0,487.01
6,8,1000.0,314.83069396982484
16,14,1000.0,323.15
12,21,500.0,588.59
13,16,100.0,527.6774431643015
6,7,50.0,302.0398842040096
12,14,500.0,561.1
16,9,50.0,715.5010740280557
6,21,1000.0,700.1225833957357
17,13,1000.0,538.4888867630525
21,22,50.0,660.2
15,8,500.0,407.03
23,8,500.0,447.83
3,15,100.0,401.15
20,4,1000.0,561.1
17,20,100.0,596.12
10,11,100.0,446.66813802154525
1,15,100.0,377.85
9,14,1000.0,702.8324041343783
10,14,500.0,683.1636449712236
7,19,50.0,522.81
2,12,500.0,445.9
21,3,500.0,564.99
19,7,100.0,522.81
14,13,100.0,445.7025008025916
9,15,100.0,436.40769957096023
3,10,50.0,391.9937421084435
7,12,50.0,476.03
23,5,1000.0,475.32
20,3,1000.0,598.94
10,3,100.0,389.60585692147686
9,22,1000.0,737.8934258742398
19,13,500.0,548.0651096553673
7,16,50.0,256.86
6,12,1000.0,378.75638054848406
21,2,100.0,456.78
