srcNodeId,dstNodeId,cost,bandwidth,latency
1,3,2.5,20000.0,45.28
1,5,5.0,10000.0,35.08
1,6,5.0,10000.0,299.03
1,8,1.0,50000.0,3.53
2,9,1.0,50000.0,294.56
2,7,10.0,5000.0,13.15
2,5,2.5,20000.0,16.98
2,6,10.0,5000.0,285.93
2,23,1.0,50000.0,58.1
3,11,1.0,50000.0,57.12
3,4,1.0,50000.0,49.28
4,11,5.0,10000.0,81.22
6,13,5.0,10000.0,20.54
6,9,2.5,20000.0,19.57
7,8,1.0,50000.0,7.89
9,10,10.0,5000.0,24.91
10,13,5.0,10000.0,27.33
11,21,10.0,5000.0,88.44
11,14,5.0,10000.0,21.43
11,15,5.0,10000.0,15.15
12,14,1.0,50000.0,33.35
12,23,1.0,50000.0,32.6
12,22,5.0,10000.0,60.5
14,15,5.0,10000.0,17.97
16,17,5.0,10000.0,14.98
16,23,10.0,5000.0,146.46
17,19,10.0,5000.0,49.71
18,19,2.5,20000.0,416.79
19,20,10.0,5000.0,34.62
19,22,5.0,10000.0,79.76
20,21,5.0,10000.0,32.11
3,1,2.5,20000.0,45.28
5,1,5.0,10000.0,35.08
6,1,5.0,10000.0,299.03
8,1,1.0,50000.0,3.53
9,2,1.0,50000.0,294.56
7,2,10.0,5000.0,13.15
5,2,2.5,20000.0,16.98
6,2,10.0,5000.0,285.93
23,2,1.0,50000.0,58.1
11,3,1.0,50000.0,57.12
4,3,1.0,50000.0,49.28
11,4,5.0,10000.0,81.22
13,6,5.0,10000.0,20.54
9,6,2.5,20000.0,19.57
8,7,1.0,50000.0,7.89
10,9,10.0,5000.0,24.91
13,10,5.0,10000.0,27.33
21,11,10.0,5000.0,88.44
14,11,5.0,10000.0,21.43
15,11,5.0,10000.0,15.15
14,12,1.0,50000.0,33.35
23,12,1.0,50000.0,32.6
22,12,5.0,10000.0,60.5
15,14,5.0,10000.0,17.97
17,16,5.0,10000.0,14.98
23,16,10.0,5000.0,146.46
19,17,10.0,5000.0,49.71
19,18,2.5,20000.0,416.79
20,19,10.0,5000.0,34.62
22,19,5.0,10000.0,79.76
21,20,5.0,10000.0,32.11
