srcNodeId,dstNodeId,bandwidth,latency
8,14,50.0,1414.1356308795616
9,2,50.0,925.68
14,10,500.0,351.96
15,12,1000.0,950.0281256082458
8,9,100.0,370.1
12,1,1000.0,529.0765118431168
2,14,1000.0,241.85
14,2,1000.0,241.85
9,8,50.0,370.1
2,9,100.0,925.68
1,12,100.0,995.175733878838
9,15,1000.0,649.66
15,2,50.0,153.28
2,8,500.0,946.13
15,10,1000.0,694.6347130671464
14,1,1000.0,716.19
9,14,100.0,1138.0235370458367
2,10,1000.0,375.73
8,10,50.0,784.98
15,1,50.0,800.0692852847764
12,10,50.0,552.99
12,15,500.0,955.7034336056607
2,12,1000.0,943.38
1,10,1000.0,819.934024513144
1,9,50.0,1080.9033458967833
10,15,1000.0,1273.8202606956022
10,1,100.0,812.7253172171637
14,8,50.0,1163.2936947578596
9,12,500.0,375.86
8,2,50.0,946.13
12,2,100.0,943.38
8,15,100.0,1471.2421711252457
1,2,500.0,1002.14
12,14,500.0,605.7385570006611
10,9,1000.0,865.36
14,15,500.0,1469.8992389161745
14,12,50.0,625.5511411565814
15,14,100.0,315.86082077213143
14,9,1000.0,1031.6638400169488
10,12,1000.0,552.99
8,12,100.0,371.4
2,1,1000.0,1002.14
12,9,500.0,375.86
10,2,500.0,375.73
10,8,500.0,784.98
9,1,100.0,1086.6366121007372
9,10,100.0,865.36
12,8,1000.0,371.4
15,9,500.0,649.66
10,14,50.0,351.96
1,14,50.0,716.19
1,8,50.0,316.1043880648903
2,15,1000.0,153.28
8,1,1000.0,326.25344943198513
15,8,100.0,978.3398379494263
1,15,1000.0,824.1911647197584
