srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,10.0,10000.0,722.29
1,4,5.0,10000.0,197.44
1,14,1.0,50000.0,583.67
1,15,10.0,15000.0,707.39
1,8,1.0,110000.0,197.28
2,8,2.5,90000.0,674.58
2,9,2.5,20000.0,411.01
2,10,10.0,5000.0,52.12
2,11,10.0,5000.0,356.1
2,12,10.0,5000.0,390.75
2,14,1.0,50000.0,186.36
2,15,10.0,10000.0,145.98
3,8,5.0,10000.0,157.57
5,10,1.0,50000.0,252.39
6,9,1.0,50000.0,71.73
7,15,1.0,50000.0,353.36
8,9,5.0,35000.0,279.56
8,10,2.5,70000.0,628.22
8,12,5.0,10000.0,316.46
8,15,1.0,50000.0,767.43
9,10,5.0,60000.0,360.43
9,12,2.5,20000.0,50.28
9,15,5.0,10000.0,543.29
13,14,5.0,10000.0,120.23
14,15,5.0,10000.0,129.15
15,16,10.0,5000.0,112.8
2,1,10.0,5000.0,722.29
4,1,5.0,10000.0,197.44
14,1,1.0,50000.0,583.67
15,1,5.0,10000.0,707.09
8,1,1.0,50000.0,197.28
8,2,1.0,50000.0,674.49
9,2,2.5,20000.0,411.01
10,2,10.0,5000.0,52.12
11,2,10.0,5000.0,356.1
12,2,10.0,5000.0,390.75
14,2,1.0,50000.0,186.36
15,2,10.0,5000.0,145.98
8,3,5.0,10000.0,157.57
10,5,1.0,50000.0,252.39
9,6,1.0,50000.0,71.73
15,7,1.0,50000.0,353.36
9,8,10.0,5000.0,279.86
10,8,1.0,50000.0,628.13
12,8,5.0,10000.0,316.46
15,8,1.0,50000.0,767.43
10,9,1.0,50000.0,360.19
12,9,2.5,20000.0,50.28
15,9,5.0,10000.0,543.29
14,13,5.0,10000.0,120.23
15,14,5.0,10000.0,129.15
16,15,10.0,5000.0,112.8
