srcNodeId,dstNodeId,bandwidth,latency
9,2,50.0,141.37
1,15,50.0,249.43270203915682
7,14,1000.0,422.52825600093036
14,12,500.0,207.39531497523893
9,12,50.0,181.65703316796257
16,11,1000.0,137.90539833042513
5,9,1000.0,142.71
4,11,50.0,326.01632287578286
18,13,500.0,257.2648566548835
13,5,50.0,231.79584968570623
7,13,500.0,256.38086965694663
13,9,50.0,127.14693397077164
18,7,100.0,112.48
3,11,500.0,193.52754918654614
12,8,1000.0,165.91291879075283
3,14,50.0,168.11149087275413
4,15,500.0,339.8274230238475
11,1,1000.0,227.59456845194097
11,16,100.0,148.29190027818584
7,12,50.0,161.57508865528612
18,3,1000.0,100.4
1,9,100.0,150.98
1,3,50.0,186.24
8,7,500.0,199.41
15,4,1000.0,218.9401041230047
18,6,1000.0,112.48
12,14,100.0,231.64409443199952
3,10,50.0,182.83
2,5,1000.0,215.91
3,18,1000.0,100.4
14,18,500.0,264.86482638105264
5,14,100.0,220.29183686143898
4,16,100.0,214.6987146560901
7,9,100.0,142.71
9,1,50.0,150.98
11,4,100.0,333.62655330243115
13,1,100.0,215.87609214567638
6,15,100.0,200.30461596093812
6,14,1000.0,223.06640011648372
14,5,50.0,218.53630115042424
5,13,1000.0,229.89423825251583
12,2,500.0,138.0837730202404
15,2,500.0,253.02026191912196
1,14,1000.0,234.0044824369221
15,12,50.0,191.92956716663764
15,11,50.0,111.73977264644537
12,18,500.0,305.2455153316838
9,7,500.0,142.71
10,4,50.0,224.08
15,1,50.0,267.58191834987565
10,15,500.0,180.62655344185882
18,10,500.0,201.71
3,16,500.0,210.47208639684823
6,8,50.0,198.45
9,6,50.0,140.61
7,1,100.0,194.01
1,10,50.0,221.98
2,8,50.0,213.41
4,3,1000.0,193.69
4,12,1000.0,164.66880446708672
10,18,1000.0,201.71
16,1,100.0,225.2693660876766
11,8,1000.0,310.5079325954404
8,10,50.0,109.05
5,15,100.0,232.21094806311427
2,7,100.0,210.07
7,16,50.0,242.1063620920636
7,2,500.0,210.07
6,18,100.0,112.48
11,5,50.0,266.7766367328895
1,8,50.0,210.33
5,10,100.0,162.45
5,3,50.0,105.66
10,16,50.0,163.86552925024972
3,1,100.0,186.24
5,4,50.0,155.98
10,1,50.0,221.98
6,3,100.0,199.44608562596193
12,5,500.0,180.7391795247827
11,9,100.0,217.35933474802087
11,10,500.0,341.29035442090515
12,4,500.0,154.51949436371947
7,11,500.0,293.056361064559
9,10,500.0,198.95
14,4,50.0,246.38632501030236
10,5,100.0,162.45
10,7,500.0,145.95
1,11,50.0,388.64680882926325
2,15,50.0,234.29435846516148
12,1,500.0,251.9884076155662
4,14,50.0,251.46787901151794
4,7,50.0,166.57
10,2,1000.0,117.67158240593713
2,11,1000.0,270.6898933991988
11,15,50.0,169.75996621298015
2,13,50.0,221.6700644581046
8,15,50.0,242.63385631988805
9,4,50.0,228.27
3,4,50.0,193.69
12,7,50.0,170.97635773970123
7,10,1000.0,145.95
2,9,100.0,141.37
9,5,100.0,142.71
9,11,50.0,206.05344442310457
3,6,50.0,156.66820231020444
4,9,1000.0,228.27
14,10,1000.0,282.10654313021695
4,8,50.0,181.03
9,18,50.0,200.04
7,4,100.0,166.57
4,6,100.0,149.58
3,7,100.0,116.25
14,1,100.0,232.1340993341376
14,6,50.0,207.5481428701133
10,11,50.0,328.93179703302053
7,8,50.0,199.41
10,8,100.0,109.05
8,4,100.0,181.03
8,1,50.0,210.33
10,9,50.0,198.95
8,2,1000.0,213.41
14,7,50.0,423.0567710163249
