srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,2.5,20000.0,8.19
1,4,2.5,20000.0,37.7
2,4,10.0,5000.0,33.18
2,7,5.0,10000.0,16.74
2,8,1.0,50000.0,17.31
3,4,5.0,10000.0,25.16
3,10,2.5,20000.0,21.07
3,12,2.5,20000.0,74.1
5,6,1.0,50000.0,24.7
5,7,5.0,10000.0,20.14
6,18,5.0,10000.0,56.75
7,8,2.5,20000.0,1.53
8,9,1.0,50000.0,94.17
8,10,10.0,5000.0,56.43
9,10,1.0,50000.0,44.14
9,14,2.5,20000.0,116.96
9,18,5.0,10000.0,18.4
11,12,1.0,50000.0,82.26
11,13,10.0,5000.0,55.21
12,13,5.0,10000.0,76.73
13,14,5.0,10000.0,3.65
13,15,1.0,50000.0,28.01
15,16,5.0,10000.0,53.77
16,17,1.0,50000.0,259.77
16,18,10.0,5000.0,61.27
2,1,2.5,20000.0,8.19
4,1,2.5,20000.0,37.7
4,2,10.0,5000.0,33.18
7,2,5.0,10000.0,16.74
8,2,1.0,50000.0,17.31
4,3,5.0,10000.0,25.16
10,3,2.5,20000.0,21.07
12,3,2.5,20000.0,74.1
6,5,1.0,50000.0,24.7
7,5,5.0,10000.0,20.14
18,6,5.0,10000.0,56.75
8,7,2.5,20000.0,1.53
9,8,1.0,50000.0,94.17
10,8,10.0,5000.0,56.43
10,9,1.0,50000.0,44.14
14,9,2.5,20000.0,116.96
18,9,5.0,10000.0,18.4
12,11,1.0,50000.0,82.26
13,11,10.0,5000.0,55.21
13,12,5.0,10000.0,76.73
14,13,5.0,10000.0,3.65
15,13,1.0,50000.0,28.01
16,15,5.0,10000.0,53.77
17,16,1.0,50000.0,259.77
18,16,10.0,5000.0,61.27
