srcNodeId,dstNodeId,bandwidth,latency
14,15,50.0,9.428014936242695
23,21,500.0,5.78
33,15,50.0,7.169777392609584
10,22,100.0,5.01
15,29,50.0,6.732380963524229
6,2,100.0,7.534699151726883
1,15,1000.0,6.02
21,5,500.0,7.17
12,5,500.0,4.51
2,25,100.0,6.990367079163487
8,25,100.0,6.1
5,28,1000.0,7.764585236833355
27,5,500.0,8.803289997287738
2,10,100.0,6.88069535648183
25,30,1000.0,6.58
20,3,500.0,7.639554888491275
20,25,50.0,7.776370089493547
12,23,500.0,6.59719860292636
33,2,50.0,5.638898299298569
13,25,1000.0,8.37
29,19,1000.0,6.15061587796681
33,7,500.0,5.84
26,22,100.0,10.27
2,33,1000.0,6.2787385916024006
24,7,100.0,7.677678809948594
19,32,1000.0,3.9496012635004867
10,26,100.0,8.428158302565826
7,10,100.0,7.734801964114373
21,18,100.0,5.151769376708239
12,15,1000.0,7.850544260111288
12,32,100.0,11.62
3,19,500.0,7.036768534320117
27,10,100.0,8.90137103328808
11,29,50.0,8.464290024254181
20,1,50.0,6.17
6,21,500.0,5.57
7,33,50.0,5.84
2,5,500.0,6.667978242475858
24,26,100.0,5.40401949592671
9,33,1000.0,6.095451739779074
4,24,100.0,5.3
26,28,1000.0,8.23
22,10,1000.0,5.01
19,26,500.0,5.739401234627773
13,9,50.0,7.701678207265326
19,1,50.0,5.23
25,1,1000.0,6.144487430115024
2,23,1000.0,7.685969416689055
23,22,100.0,5.04
28,1,100.0,7.148018610728953
9,12,500.0,6.451808487189801
1,30,100.0,5.57
6,12,1000.0,6.156355459065598
11,31,1000.0,5.626313873215801
20,31,100.0,5.156348375650035
25,20,100.0,7.584172305544358
25,5,500.0,6.475475879861832
33,14,50.0,6.075556277471351
32,5,1000.0,3.99
