srcNodeId,dstNodeId,cost,bandwidth,latency
1,4,10.0,5000.0,1.3
1,8,2.5,20000.0,1.3
2,14,10.0,5000.0,1.3
2,7,5.0,10000.0,1.3
3,26,1.0,50000.0,1.3
3,4,2.5,20000.0,1.3
3,22,10.0,5000.0,1.3
3,32,1.0,50000.0,1.3
4,31,2.5,20000.0,1.3
4,8,2.5,20000.0,1.3
5,8,10.0,55000.0,1.3
5,24,1.0,50000.0,1.3
5,6,10.0,5000.0,1.3
5,16,5.0,10000.0,1.3
6,9,10.0,5000.0,1.3
7,21,1.0,50000.0,1.3
8,10,5.0,10000.0,1.3
8,19,2.5,20000.0,1.3
8,21,2.5,20000.0,1.3
8,22,10.0,5000.0,1.3
8,24,5.0,10000.0,1.3
8,31,10.0,5000.0,1.3
9,10,5.0,10000.0,1.3
10,20,2.5,20000.0,1.3
11,18,2.5,20000.0,1.3
11,23,2.5,20000.0,1.3
12,13,10.0,5000.0,1.3
12,31,5.0,10000.0,1.3
13,27,2.5,20000.0,1.3
14,30,1.0,50000.0,1.3
15,17,1.0,50000.0,1.3
15,18,2.5,20000.0,1.3
15,19,10.0,5000.0,1.3
18,20,10.0,5000.0,1.3
18,24,1.0,50000.0,1.3
23,24,2.5,20000.0,1.3
25,33,10.0,5000.0,1.3
25,26,10.0,5000.0,1.3
26,33,5.0,10000.0,1.3
27,28,1.0,50000.0,1.3
28,29,5.0,10000.0,1.3
29,30,10.0,5000.0,1.3
30,31,1.0,50000.0,1.3
31,33,2.5,20000.0,1.3
31,32,5.0,10000.0,1.3
33,34,2.5,20000.0,1.3
4,1,10.0,5000.0,1.3
8,1,2.5,20000.0,1.3
14,2,10.0,5000.0,1.3
7,2,5.0,10000.0,1.3
26,3,1.0,50000.0,1.3
4,3,2.5,20000.0,1.3
22,3,10.0,5000.0,1.3
32,3,1.0,50000.0,1.3
31,4,2.5,20000.0,1.3
8,4,2.5,20000.0,1.3
8,5,1.0,50000.0,1.3
24,5,1.0,50000.0,1.3
6,5,10.0,5000.0,1.3
16,5,5.0,10000.0,1.3
9,6,10.0,5000.0,1.3
21,7,1.0,50000.0,1.3
10,8,5.0,10000.0,1.3
19,8,2.5,20000.0,1.3
21,8,2.5,20000.0,1.3
22,8,10.0,5000.0,1.3
24,8,5.0,10000.0,1.3
31,8,10.0,5000.0,1.3
10,9,5.0,10000.0,1.3
20,10,2.5,20000.0,1.3
18,11,2.5,20000.0,1.3
23,11,2.5,20000.0,1.3
13,12,10.0,5000.0,1.3
31,12,5.0,10000.0,1.3
27,13,2.5,20000.0,1.3
30,14,1.0,50000.0,1.3
17,15,1.0,50000.0,1.3
18,15,2.5,20000.0,1.3
19,15,10.0,5000.0,1.3
20,18,10.0,5000.0,1.3
24,18,1.0,50000.0,1.3
24,23,2.5,20000.0,1.3
33,25,10.0,5000.0,1.3
26,25,10.0,5000.0,1.3
33,26,5.0,10000.0,1.3
28,27,1.0,50000.0,1.3
29,28,5.0,10000.0,1.3
30,29,10.0,5000.0,1.3
31,30,1.0,50000.0,1.3
33,31,2.5,20000.0,1.3
32,31,5.0,10000.0,1.3
34,33,2.5,20000.0,1.3
