srcNodeId,dstNodeId,bandwidth,latency
47,3,500.0,847.93
26,47,50.0,1108.89
20,9,50.0,1245.67
9,20,1000.0,1245.67
54,9,1000.0,1107.8
20,3,100.0,658.9880297969563
64,60,1000.0,701.920812514292
56,57,500.0,122.9
9,48,1000.0,1107.8
21,26,500.0,1401.34
55,57,500.0,952.6961512981777
61,21,50.0,765.0776168672398
62,64,1000.0,1144.92
21,5,50.0,835.15790315508
62,63,1000.0,1145.54
54,21,100.0,986.58
60,47,100.0,425.7243466834471
63,3,50.0,622.7711031459474
9,21,1000.0,1401.34
60,64,50.0,702.5497151197978
47,4,500.0,1005.85
4,64,50.0,664.8181554884854
59,4,100.0,904.5756915626168
47,59,100.0,762.1125765190216
3,58,500.0,757.6499840907684
9,3,1000.0,915.88
4,20,100.0,806.7611667565442
4,3,100.0,282.0367221268596
3,45,1000.0,479.52
56,47,100.0,847.93
9,4,1000.0,1135.27
56,64,50.0,464.9622011819337
63,48,100.0,805.7
54,23,50.0,1416.91
58,57,1000.0,992.3192900412479
29,57,100.0,1046.39
9,57,500.0,1135.27
61,45,1000.0,462.5
3,48,100.0,848.19
21,29,500.0,1401.34
45,29,500.0,1189.23
3,21,50.0,1053.6315240445624
29,20,1000.0,1245.67
20,4,50.0,627.3221463432407
54,59,100.0,496.3290993848297
45,48,100.0,986.73
63,29,1000.0,1145.39
57,47,50.0,918.31
57,21,1000.0,1032.2176309033298
57,3,50.0,155.4658158993632
57,64,500.0,733.9149939425791
20,59,50.0,932.730248655024
54,57,50.0,918.43
54,56,1000.0,848.05
45,59,100.0,804.748097384985
47,9,100.0,1107.8
29,54,500.0,1109.01
64,20,1000.0,373.33
63,62,50.0,1145.54
29,64,500.0,1144.77
21,3,50.0,655.7458015495473
29,21,50.0,1401.34
48,4,1000.0,1006.11
57,54,500.0,918.43
63,47,100.0,805.7
62,45,50.0,1189.44
21,55,1000.0,708.5627989144707
47,63,50.0,805.7
64,26,50.0,1145.46
45,62,500.0,1189.44
4,9,50.0,1135.27
48,62,100.0,1109.46
63,60,100.0,895.7867662240196
63,20,500.0,373.33
20,62,1000.0,1245.88
47,62,100.0,1109.4
5,58,50.0,975.1331177654014
63,45,100.0,496.17
55,21,50.0,1009.8490182869149
4,54,1000.0,1005.97
48,26,100.0,1109.16
54,4,1000.0,1005.97
47,26,50.0,1108.89
45,63,50.0,496.17
45,64,1000.0,496.17
4,48,50.0,1006.11
64,62,100.0,1144.92
54,5,1000.0,1156.17
20,64,100.0,373.33
4,47,100.0,1005.85
55,20,50.0,530.891976821013
29,63,100.0,1145.39
21,9,100.0,1401.34
57,9,50.0,1135.27
64,45,500.0,496.17
5,54,50.0,1156.17
48,5,1000.0,1156.31
21,62,500.0,1401.88
5,48,50.0,1156.31
48,57,500.0,918.57
54,62,100.0,1109.4
20,63,500.0,373.33
47,57,1000.0,918.31
47,5,50.0,1156.05
21,59,100.0,1009.511075613453
57,58,50.0,1161.7912934188091
20,55,100.0,795.4559671980546
57,48,50.0,918.57
45,58,100.0,904.3674680236721
