srcNodeId,dstNodeId,cost,bandwidth,latency
1,4,2.5,20000.0,25.66
1,13,5.0,10000.0,20.54
2,20,10.0,5000.0,49.31
2,7,5.0,10000.0,51.95
3,4,1.0,50000.0,16.58
3,14,1.0,50000.0,9.35
5,9,5.0,10000.0,32.11
5,8,2.5,20000.0,72.94
6,9,2.5,20000.0,20.08
6,15,10.0,5000.0,37.51
7,8,5.0,10000.0,92.76
8,10,2.5,20000.0,19.76
8,20,1.0,50000.0,94.28
8,18,5.0,10000.0,67.89
9,15,5.0,10000.0,27.94
11,19,10.0,5000.0,29.98
11,20,2.5,20000.0,12.86
12,19,10.0,5000.0,47.89
12,22,5.0,10000.0,18.64
13,14,1.0,50000.0,18.57
13,22,2.5,20000.0,280.93
14,20,5.0,10000.0,314.49
15,18,2.5,20000.0,149.85
15,16,2.5,20000.0,5.01
16,17,5.0,10000.0,57.94
17,18,10.0,5000.0,146.46
18,19,2.5,20000.0,32.22
18,20,10.0,5000.0,52.47
4,1,2.5,20000.0,25.66
13,1,5.0,10000.0,20.54
20,2,10.0,5000.0,49.31
7,2,5.0,10000.0,51.95
4,3,1.0,50000.0,16.58
14,3,1.0,50000.0,9.35
9,5,5.0,10000.0,32.11
8,5,2.5,20000.0,72.94
9,6,2.5,20000.0,20.08
15,6,10.0,5000.0,37.51
8,7,5.0,10000.0,92.76
10,8,2.5,20000.0,19.76
20,8,1.0,50000.0,94.28
18,8,5.0,10000.0,67.89
15,9,5.0,10000.0,27.94
19,11,10.0,5000.0,29.98
20,11,2.5,20000.0,12.86
19,12,10.0,5000.0,47.89
22,12,5.0,10000.0,18.64
14,13,1.0,50000.0,18.57
22,13,2.5,20000.0,280.93
20,14,5.0,10000.0,314.49
18,15,2.5,20000.0,149.85
16,15,2.5,20000.0,5.01
17,16,5.0,10000.0,57.94
18,17,10.0,5000.0,146.46
19,18,2.5,20000.0,32.22
20,18,10.0,5000.0,52.47
