srcNodeId,dstNodeId,bandwidth,latency
17,4,1000.0,635.2804407811226
1,8,50.0,449.4079781531447
5,19,100.0,665.12
8,1,100.0,458.9431236788968
3,16,500.0,594.5013324666414
1,2,50.0,407.94736450972675
9,19,1000.0,667.59
4,8,50.0,519.5400402898416
11,16,50.0,641.91
7,5,50.0,592.52
9,3,500.0,833.1815175043117
3,8,500.0,643.1010917912685
4,7,50.0,502.6603109434995
17,12,50.0,509.89
11,2,500.0,697.64
3,7,1000.0,505.6754216349416
5,11,1000.0,633.49
6,1,1000.0,575.69105006289
1,6,500.0,574.1773777445434
2,14,100.0,518.2481883002716
12,17,1000.0,509.89
8,4,50.0,594.4506873888718
4,5,100.0,960.9928489360868
15,11,50.0,671.56
6,14,100.0,630.7777606373462
6,3,100.0,792.1559928562774
12,5,500.0,522.86
15,3,50.0,574.4435619111927
5,7,50.0,592.52
17,3,50.0,568.7852945762162
15,1,100.0,567.9080292424621
6,19,1000.0,627.17
22,7,100.0,537.8
11,7,500.0,671.12
2,4,50.0,418.7835577512529
3,5,100.0,876.3557213216727
