srcNodeId,dstNodeId,bandwidth,latency
50,32,50.0,77.50051543923708
11,23,50.0,47.52303427347645
50,26,100.0,81.7217028792234
12,23,100.0,63.087746485957915
26,12,1000.0,86.12609102284289
44,50,500.0,69.84690204893309
50,28,1000.0,64.89390912366336
35,50,1000.0,77.39210525795795
27,26,50.0,107.86772185152098
26,44,1000.0,57.59447056406177
21,5,50.0,88.44826305610457
49,12,50.0,99.403805167017
12,5,1000.0,66.22791287635083
40,23,500.0,74.44667565624647
39,50,50.0,71.10099321711884
5,41,50.0,62.57477069505107
49,41,50.0,44.66994376632346
35,49,100.0,58.485914870192744
50,35,100.0,84.87344746486045
41,23,50.0,63.540640015442385
44,23,500.0,55.632372799309096
13,49,500.0,54.767802153299755
49,18,50.0,87.34838539584841
45,49,50.0,85.56116931833895
18,26,1000.0,94.26349411467785
45,26,1000.0,70.64386078614544
7,26,100.0,144.13640121794242
39,23,1000.0,60.23237109311897
23,18,500.0,43.51412651780157
44,5,500.0,90.36418011083387
49,32,500.0,88.28071901947644
28,49,500.0,93.03809474258458
28,23,50.0,69.51739075449002
26,39,500.0,66.70606258476698
21,26,500.0,62.159268549572495
27,50,100.0,88.4769808088063
26,5,1000.0,64.50984459534983
26,21,500.0,50.88532579866032
50,27,100.0,114.71433756017692
49,23,50.0,91.29316413908683
26,35,100.0,52.09616690548229
50,41,50.0,64.74003765080957
26,28,50.0,49.15486157537393
23,45,500.0,64.2052089299854
5,45,100.0,66.21616450549843
23,7,100.0,76.1223121449558
49,35,50.0,68.13792535177184
49,11,50.0,58.609407405225824
