srcNodeId,dstNodeId,cost,bandwidth,latency
1,49,1.0,50000.0,4.03
2,5,2.5,20000.0,7.08
3,43,10.0,5000.0,2.58
4,51,2.5,20000.0,8.04
5,36,1.0,50000.0,22.98
5,50,2.5,20000.0,26.41
6,47,1.0,50000.0,17.31
7,27,5.0,10000.0,41.8
7,32,1.0,50000.0,21.38
8,49,5.0,10000.0,8.0
9,47,10.0,5000.0,12.96
10,47,2.5,20000.0,6.07
11,16,10.0,5000.0,38.43
11,36,1.0,50000.0,1.12
11,47,10.0,5000.0,0.6
11,40,5.0,10000.0,13.06
12,36,2.5,20000.0,17.45
12,32,2.5,20000.0,37.86
13,36,10.0,5000.0,13.05
13,32,2.5,20000.0,44.14
14,16,1.0,50000.0,5.94
15,16,5.0,10000.0,4.65
16,17,2.5,20000.0,17.01
18,36,2.5,20000.0,28.39
18,32,10.0,5000.0,13.61
19,32,2.5,20000.0,28.96
20,21,2.5,20000.0,6.66
21,36,1.0,50000.0,25.81
21,22,10.0,5000.0,5.86
21,32,5.0,10000.0,50.44
23,26,5.0,10000.0,26.17
23,32,1.0,50000.0,26.45
24,27,2.5,20000.0,2.19
25,27,2.5,20000.0,11.01
26,36,10.0,5000.0,18.83
26,32,5.0,10000.0,52.54
27,36,10.0,5000.0,23.58
27,48,5.0,10000.0,15.06
28,36,2.5,20000.0,15.72
28,29,2.5,20000.0,5.4
28,30,2.5,20000.0,6.12
28,31,10.0,5000.0,9.11
28,32,5.0,10000.0,48.53
32,33,1.0,50000.0,2.33
32,35,10.0,5000.0,36.62
32,38,5.0,10000.0,6.53
32,40,5.0,10000.0,22.72
32,41,1.0,50000.0,25.18
32,44,10.0,5000.0,11.2
32,36,1.0,50000.0,34.21
32,50,2.5,20000.0,54.01
32,39,5.0,10000.0,14.3
34,41,2.5,20000.0,6.93
35,36,10.0,5000.0,8.95
36,41,1.0,50000.0,11.33
36,44,2.5,20000.0,24.3
36,45,10.0,5000.0,11.63
36,49,5.0,10000.0,32.55
36,50,5.0,10000.0,48.92
37,47,10.0,5000.0,4.36
39,45,5.0,10000.0,33.69
42,51,10.0,5000.0,2.54
43,51,2.5,20000.0,3.43
45,46,1.0,50000.0,2.24
49,50,10.0,5000.0,17.0
50,51,2.5,20000.0,0.15
49,1,1.0,50000.0,4.03
5,2,2.5,20000.0,7.08
43,3,10.0,5000.0,2.58
51,4,2.5,20000.0,8.04
36,5,1.0,50000.0,22.98
50,5,2.5,20000.0,26.41
47,6,1.0,50000.0,17.31
27,7,5.0,10000.0,41.8
32,7,1.0,50000.0,21.38
49,8,5.0,10000.0,8.0
47,9,10.0,5000.0,12.96
47,10,2.5,20000.0,6.07
16,11,10.0,5000.0,38.43
36,11,1.0,50000.0,1.12
47,11,10.0,5000.0,0.6
40,11,5.0,10000.0,13.06
36,12,2.5,20000.0,17.45
32,12,2.5,20000.0,37.86
36,13,10.0,5000.0,13.05
32,13,2.5,20000.0,44.14
16,14,1.0,50000.0,5.94
16,15,5.0,10000.0,4.65
17,16,2.5,20000.0,17.01
36,18,2.5,20000.0,28.39
32,18,10.0,5000.0,13.61
32,19,2.5,20000.0,28.96
21,20,2.5,20000.0,6.66
36,21,1.0,50000.0,25.81
22,21,10.0,5000.0,5.86
32,21,5.0,10000.0,50.44
26,23,5.0,10000.0,26.17
32,23,1.0,50000.0,26.45
27,24,2.5,20000.0,2.19
27,25,2.5,20000.0,11.01
36,26,10.0,5000.0,18.83
32,26,5.0,10000.0,52.54
36,27,10.0,5000.0,23.58
48,27,5.0,10000.0,15.06
36,28,2.5,20000.0,15.72
29,28,2.5,20000.0,5.4
30,28,2.5,20000.0,6.12
31,28,10.0,5000.0,9.11
32,28,5.0,10000.0,48.53
33,32,1.0,50000.0,2.33
35,32,10.0,5000.0,36.62
38,32,5.0,10000.0,6.53
40,32,5.0,10000.0,22.72
41,32,1.0,50000.0,25.18
44,32,10.0,5000.0,11.2
36,32,1.0,50000.0,34.21
50,32,2.5,20000.0,54.01
39,32,5.0,10000.0,14.3
41,34,2.5,20000.0,6.93
36,35,10.0,5000.0,8.95
41,36,1.0,50000.0,11.33
44,36,2.5,20000.0,24.3
45,36,10.0,5000.0,11.63
49,36,5.0,10000.0,32.55
50,36,5.0,10000.0,48.92
47,37,10.0,5000.0,4.36
45,39,5.0,10000.0,33.69
51,42,10.0,5000.0,2.54
51,43,2.5,20000.0,3.43
46,45,1.0,50000.0,2.24
50,49,10.0,5000.0,17.0
51,50,2.5,20000.0,0.15
