srcNodeId,dstNodeId,cost,bandwidth,latency
1,16,10.0,5000.0,163.19
2,3,5.0,10000.0,194.72
2,7,1.0,50000.0,165.07
2,16,1.0,50000.0,300.19
3,4,10.0,5000.0,16.4
3,7,1.0,50000.0,314.73
3,9,5.0,10000.0,99.07
3,18,5.0,10000.0,71.61
3,19,2.5,20000.0,145.53
3,20,10.0,5000.0,196.03
5,14,2.5,20000.0,194.8
5,7,1.0,50000.0,194.73
5,16,1.0,50000.0,206.54
6,16,1.0,50000.0,73.73
6,14,5.0,10000.0,70.57
6,7,1.0,50000.0,370.59
6,8,5.0,10000.0,442.2
7,8,10.0,5000.0,108.65
9,12,2.5,20000.0,96.89
9,16,2.5,20000.0,153.21
10,16,5.0,10000.0,182.95
11,12,1.0,50000.0,57.8
12,16,5.0,10000.0,215.66
13,14,10.0,5000.0,57.98
13,16,2.5,20000.0,104.82
14,15,10.0,5000.0,105.02
14,16,2.5,20000.0,143.75
14,17,2.5,20000.0,149.02
15,16,2.5,20000.0,40.74
16,17,5.0,10000.0,56.01
16,18,10.0,5000.0,86.81
16,1,10.0,5000.0,163.19
3,2,5.0,10000.0,194.72
7,2,1.0,50000.0,165.07
16,2,1.0,50000.0,300.19
4,3,10.0,5000.0,16.4
7,3,1.0,50000.0,314.73
9,3,5.0,10000.0,99.07
18,3,5.0,10000.0,71.61
19,3,2.5,20000.0,145.53
20,3,10.0,5000.0,196.03
14,5,2.5,20000.0,194.8
7,5,1.0,50000.0,194.73
16,5,1.0,50000.0,206.54
16,6,1.0,50000.0,73.73
14,6,5.0,10000.0,70.57
7,6,1.0,50000.0,370.59
8,6,5.0,10000.0,442.2
8,7,10.0,5000.0,108.65
12,9,2.5,20000.0,96.89
16,9,2.5,20000.0,153.21
16,10,5.0,10000.0,182.95
12,11,1.0,50000.0,57.8
16,12,5.0,10000.0,215.66
14,13,10.0,5000.0,57.98
16,13,2.5,20000.0,104.82
15,14,10.0,5000.0,105.02
16,14,2.5,20000.0,143.75
17,14,2.5,20000.0,149.02
16,15,2.5,20000.0,40.74
17,16,5.0,10000.0,56.01
18,16,10.0,5000.0,86.81
