srcNodeId,dstNodeId,bandwidth,latency
6,18,500.0,365.4
7,2,500.0,277.26254456719835
14,12,1000.0,601.13
7,3,1000.0,330.96746774433575
15,7,500.0,493.96678207086984
5,3,1000.0,467.4536037034222
9,14,100.0,504.53
9,7,1000.0,515.8299690480803
3,7,50.0,532.9866961457093
13,7,500.0,545.545832272891
2,14,100.0,671.9494494671147
15,18,50.0,340.81
6,15,100.0,476.76
6,12,50.0,530.7
5,8,1000.0,950.1869452841261
3,13,50.0,355.65
7,13,100.0,552.421201504499
17,9,100.0,445.14
7,5,500.0,338.47716532083405
12,18,1000.0,502.70826097266945
18,12,500.0,380.27468010682446
8,13,50.0,576.6054422803956
3,17,50.0,356.96
8,3,500.0,958.5097930505832
18,17,1000.0,356.96
2,13,500.0,747.5942433618121
13,2,50.0,735.979392761395
13,12,100.0,583.17
12,2,50.0,425.6734913121104
6,14,1000.0,154.84
3,5,100.0,478.7437776331543
6,16,1000.0,229.06
18,13,50.0,396.42
3,9,500.0,150.24
15,12,1000.0,524.59
12,13,1000.0,583.17
5,16,1000.0,568.54
18,9,50.0,304.9775788014084
18,2,1000.0,304.1709968950862
9,16,500.0,231.89
5,12,100.0,640.047298772339
2,7,500.0,256.6394257580695
2,9,1000.0,340.85957256118854
2,16,50.0,361.42
9,17,50.0,445.14
12,8,1000.0,686.5357653947052
12,14,50.0,601.13
17,2,50.0,575.4538423055926
6,9,100.0,443.0
