srcNodeId,dstNodeId,cost,bandwidth,latency
1,4,1.0,50000.0,30.38
1,8,10.0,5000.0,52.98
2,4,1.0,50000.0,58.48
2,7,5.0,10000.0,22.56
2,14,1.0,50000.0,146.9
2,19,10.0,5000.0,224.82
2,20,2.5,20000.0,213.76
2,23,2.5,20000.0,114.52
2,32,1.0,50000.0,140.46
3,4,5.0,10000.0,30.19
3,23,5.0,10000.0,36.88
4,8,5.0,10000.0,78.99
4,23,5.0,10000.0,63.68
4,24,2.5,20000.0,37.17
5,6,5.0,10000.0,11.6
5,8,2.5,20000.0,19.23
6,9,2.5,20000.0,28.71
6,18,5.0,10000.0,43.02
6,12,1.0,50000.0,20.9
7,8,10.0,5000.0,23.3
8,16,10.0,5000.0,34.48
9,10,10.0,5000.0,20.44
10,18,1.0,50000.0,9.67
11,32,1.0,50000.0,267.23
12,16,5.0,10000.0,18.64
13,32,5.0,10000.0,120.19
15,17,1.0,50000.0,185.21
16,18,5.0,10000.0,51.29
16,21,10.0,5000.0,239.1
16,22,10.0,5000.0,137.12
17,18,10.0,5000.0,51.64
23,28,10.0,5000.0,28.71
23,27,2.5,20000.0,15.73
24,27,2.5,20000.0,26.03
25,27,2.5,20000.0,77.71
26,27,2.5,20000.0,51.33
28,29,5.0,10000.0,8.61
28,30,2.5,20000.0,14.43
30,31,5.0,10000.0,7.97
30,32,10.0,5000.0,16.26
31,32,10.0,5000.0,12.67
4,1,1.0,50000.0,30.38
8,1,10.0,5000.0,52.98
4,2,1.0,50000.0,58.48
7,2,5.0,10000.0,22.56
14,2,1.0,50000.0,146.9
19,2,10.0,5000.0,224.82
20,2,2.5,20000.0,213.76
23,2,2.5,20000.0,114.52
32,2,1.0,50000.0,140.46
4,3,5.0,10000.0,30.19
23,3,5.0,10000.0,36.88
8,4,5.0,10000.0,78.99
23,4,5.0,10000.0,63.68
24,4,2.5,20000.0,37.17
6,5,5.0,10000.0,11.6
8,5,2.5,20000.0,19.23
9,6,2.5,20000.0,28.71
18,6,5.0,10000.0,43.02
12,6,1.0,50000.0,20.9
8,7,10.0,5000.0,23.3
16,8,10.0,5000.0,34.48
10,9,10.0,5000.0,20.44
18,10,1.0,50000.0,9.67
32,11,1.0,50000.0,267.23
16,12,5.0,10000.0,18.64
32,13,5.0,10000.0,120.19
17,15,1.0,50000.0,185.21
18,16,5.0,10000.0,51.29
21,16,10.0,5000.0,239.1
22,16,10.0,5000.0,137.12
18,17,10.0,5000.0,51.64
28,23,10.0,5000.0,28.71
27,23,2.5,20000.0,15.73
27,24,2.5,20000.0,26.03
27,25,2.5,20000.0,77.71
27,26,2.5,20000.0,51.33
29,28,5.0,10000.0,8.61
30,28,2.5,20000.0,14.43
31,30,5.0,10000.0,7.97
32,30,10.0,5000.0,16.26
32,31,10.0,5000.0,12.67
