srcNodeId,dstNodeId,cost,bandwidth,latency
1,9,5.0,10000.0,24.82
1,2,2.5,20000.0,11.38
1,4,10.0,5000.0,8.81
1,7,1.0,50000.0,10.92
1,8,5.0,10000.0,42.12
2,9,10.0,5000.0,21.13
2,7,10.0,5000.0,13.11
3,30,1.0,50000.0,10.79
3,31,1.0,50000.0,28.22
5,9,2.5,20000.0,52.78
5,6,10.0,5000.0,25.76
5,8,5.0,10000.0,25.57
7,9,5.0,10000.0,32.34
9,10,2.5,20000.0,17.36
9,22,10.0,5000.0,24.59
9,25,5.0,10000.0,21.84
9,26,2.5,20000.0,310.25
10,21,5.0,10000.0,279.56
10,22,2.5,20000.0,32.12
10,25,2.5,20000.0,18.05
10,26,10.0,5000.0,297.24
10,29,10.0,5000.0,24.68
11,17,1.0,50000.0,660.25
11,18,2.5,20000.0,143.75
12,20,1.0,50000.0,35.27
12,21,2.5,20000.0,57.59
12,16,10.0,5000.0,149.61
13,26,5.0,10000.0,2.42
13,21,5.0,10000.0,16.74
13,14,1.0,50000.0,74.3
13,15,1.0,50000.0,185.08
15,17,10.0,5000.0,219.96
15,18,2.5,20000.0,583.76
15,19,2.5,20000.0,706.94
15,16,5.0,10000.0,26.07
16,17,10.0,5000.0,244.51
16,26,2.5,20000.0,193.83
16,21,10.0,5000.0,207.05
17,21,2.5,20000.0,177.76
18,19,1.0,50000.0,128.91
19,22,10.0,5000.0,514.03
20,21,5.0,10000.0,28.11
21,37,1.0,50000.0,319.87
21,22,2.5,20000.0,311.11
21,24,2.5,20000.0,309.3
21,29,5.0,10000.0,302.61
22,35,5.0,10000.0,101.63
22,25,5.0,10000.0,18.55
22,26,5.0,10000.0,328.6
24,26,2.5,20000.0,326.49
25,27,5.0,10000.0,18.67
25,29,10.0,5000.0,9.73
26,37,1.0,50000.0,337.07
26,29,2.5,20000.0,319.77
27,33,2.5,20000.0,40.77
27,32,2.5,20000.0,14.59
30,38,5.0,10000.0,12.94
30,31,2.5,20000.0,17.99
32,33,10.0,5000.0,26.78
34,36,1.0,50000.0,25.98
34,39,2.5,20000.0,38.4
38,39,1.0,50000.0,12.65
9,1,5.0,10000.0,24.82
2,1,2.5,20000.0,11.38
4,1,10.0,5000.0,8.81
7,1,1.0,50000.0,10.92
8,1,5.0,10000.0,42.12
9,2,10.0,5000.0,21.13
7,2,10.0,5000.0,13.11
30,3,1.0,50000.0,10.79
31,3,1.0,50000.0,28.22
9,5,2.5,20000.0,52.78
6,5,10.0,5000.0,25.76
8,5,5.0,10000.0,25.57
9,7,5.0,10000.0,32.34
10,9,2.5,20000.0,17.36
22,9,10.0,5000.0,24.59
25,9,5.0,10000.0,21.84
26,9,2.5,20000.0,310.25
21,10,5.0,10000.0,279.56
22,10,2.5,20000.0,32.12
25,10,2.5,20000.0,18.05
26,10,10.0,5000.0,297.24
29,10,10.0,5000.0,24.68
17,11,1.0,50000.0,660.25
18,11,2.5,20000.0,143.75
20,12,1.0,50000.0,35.27
21,12,2.5,20000.0,57.59
16,12,10.0,5000.0,149.61
26,13,5.0,10000.0,2.42
21,13,5.0,10000.0,16.74
14,13,1.0,50000.0,74.3
15,13,1.0,50000.0,185.08
17,15,10.0,5000.0,219.96
18,15,2.5,20000.0,583.76
19,15,2.5,20000.0,706.94
16,15,5.0,10000.0,26.07
17,16,10.0,5000.0,244.51
26,16,2.5,20000.0,193.83
21,16,10.0,5000.0,207.05
21,17,2.5,20000.0,177.76
19,18,1.0,50000.0,128.91
22,19,10.0,5000.0,514.03
21,20,5.0,10000.0,28.11
37,21,1.0,50000.0,319.87
22,21,2.5,20000.0,311.11
24,21,2.5,20000.0,309.3
29,21,5.0,10000.0,302.61
35,22,5.0,10000.0,101.63
25,22,5.0,10000.0,18.55
26,22,5.0,10000.0,328.6
26,24,2.5,20000.0,326.49
27,25,5.0,10000.0,18.67
29,25,10.0,5000.0,9.73
37,26,1.0,50000.0,337.07
29,26,2.5,20000.0,319.77
33,27,2.5,20000.0,40.77
32,27,2.5,20000.0,14.59
38,30,5.0,10000.0,12.94
31,30,2.5,20000.0,17.99
33,32,10.0,5000.0,26.78
36,34,1.0,50000.0,25.98
39,34,2.5,20000.0,38.4
39,38,1.0,50000.0,12.65
