srcNodeId,dstNodeId,bandwidth,latency
16,12,1000.0,407.35
25,15,100.0,540.131191599232
13,12,500.0,112.97
24,7,50.0,667.3217497196375
9,24,100.0,612.875861718733
10,7,500.0,99.05
26,8,500.0,387.7876671399563
13,18,50.0,1455.9269786456598
25,8,1000.0,90.90450955127628
2,37,100.0,670.1885636239755
19,24,100.0,1245.896703329695
15,37,1000.0,540.53
20,12,1000.0,65.78
24,13,50.0,362.706300743058
9,19,500.0,981.1595714017802
37,11,1000.0,2219.043474326782
22,21,500.0,527.1650613225088
13,5,100.0,451.4958220707657
19,8,1000.0,1005.8644241187089
5,25,1000.0,123.11778342848284
16,24,1000.0,586.61
25,19,50.0,704.4059441959312
29,20,50.0,352.2658374085646
10,12,100.0,347.6628869076695
12,15,500.0,369.48
22,37,50.0,795.0697513803208
2,15,100.0,522.6042289966621
11,15,100.0,1439.5550920537369
25,7,50.0,102.99
9,37,100.0,645.6543301240295
10,22,500.0,55.45
29,5,500.0,166.33639358699884
12,21,500.0,65.78
22,18,50.0,1285.008992586009
10,19,500.0,1297.67940427057
22,7,1000.0,101.63
5,37,100.0,697.8772450864054
29,10,50.0,68.02
20,22,1000.0,374.55927577874047
11,7,1000.0,1013.7231080915894
18,2,500.0,1049.9918610833467
12,37,100.0,659.2103074343368
24,12,50.0,527.0860744932746
22,12,500.0,672.7368455616096
13,1,100.0,586.639935910199
11,21,100.0,1578.4952128103846
18,26,50.0,1398.7653370902037
20,16,100.0,416.89
1,24,50.0,643.4377212439107
19,18,500.0,242.67354929842702
20,13,1000.0,184.48
5,24,1000.0,676.4479469640517
15,18,500.0,760.1021873917516
37,19,500.0,1184.8133425017882
11,1,100.0,1021.3180410403963
18,15,50.0,657.4621046216148
12,29,50.0,408.2598326650215
19,20,100.0,898.9134521118215
21,10,1000.0,355.0
18,21,500.0,828.9027960553036
7,12,1000.0,491.1154757646068
21,2,500.0,573.9103183021978
11,29,1000.0,1176.9120538060808
2,21,500.0,773.1526272839284
16,1,1000.0,528.8588803687333
10,16,50.0,498.8219809011639
12,9,100.0,851.0291262514719
17,21,50.0,598.55
26,12,1000.0,214.06
2,26,500.0,339.0790859147582
37,25,100.0,635.8681203198585
29,18,500.0,935.4980985364507
29,24,500.0,614.5751199524774
13,11,1000.0,862.0575311177231
17,2,500.0,984.8283115741998
24,37,50.0,705.9575982226221
24,25,1000.0,628.7534088692572
7,22,1000.0,101.63
37,13,100.0,412.93947183655916
