srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,2.5,40000.0,0.15
1,4,1.0,50000.0,60.37
1,8,10.0,5000.0,0.6
2,7,1.0,50000.0,78.77
2,8,10.0,55000.0,0.6
3,4,1.0,50000.0,60.18
4,8,1.0,50000.0,60.37
5,6,10.0,5000.0,215.96
6,9,1.0,50000.0,61.42
6,11,1.0,50000.0,482.16
6,14,2.5,20000.0,558.18
8,18,1.0,50000.0,162.88
8,10,10.0,5000.0,308.17
10,18,5.0,10000.0,148.48
10,11,5.0,10000.0,17.51
10,16,5.0,10000.0,309.38
11,12,1.0,50000.0,438.89
11,15,1.0,60000.0,279.32
11,14,5.0,10000.0,433.13
12,13,1.0,50000.0,219.42
12,16,2.5,20000.0,185.17
13,14,10.0,5000.0,244.51
14,15,10.0,5000.0,207.05
15,16,5.0,10000.0,16.74
17,18,2.5,20000.0,145.65
18,19,2.5,20000.0,116.72
2,1,2.5,20000.0,0.15
4,1,1.0,50000.0,60.37
8,1,10.0,5000.0,0.6
7,2,1.0,50000.0,78.77
8,2,1.0,50000.0,0.06
4,3,1.0,50000.0,60.18
8,4,1.0,50000.0,60.37
6,5,10.0,5000.0,215.96
9,6,1.0,50000.0,61.42
11,6,1.0,50000.0,482.16
14,6,2.5,20000.0,558.18
18,8,1.0,50000.0,162.88
10,8,10.0,5000.0,308.17
18,10,5.0,10000.0,148.48
11,10,5.0,10000.0,17.51
16,10,5.0,10000.0,309.38
12,11,1.0,50000.0,438.89
15,11,5.0,10000.0,279.56
14,11,5.0,10000.0,433.13
13,12,1.0,50000.0,219.42
16,12,2.5,20000.0,185.17
14,13,10.0,5000.0,244.51
15,14,10.0,5000.0,207.05
16,15,5.0,10000.0,16.74
18,17,2.5,20000.0,145.65
19,18,2.5,20000.0,116.72
