srcNodeId,dstNodeId,bandwidth,latency
1,13,1000.0,1032.5957364026215
2,14,500.0,999.9396784060546
16,4,100.0,839.41
14,4,500.0,1156.7359937217316
16,1,50.0,834.74
6,4,100.0,869.7802933669412
2,13,100.0,1025.9197465095133
2,16,100.0,834.74
2,12,500.0,795.9882832476837
1,12,1000.0,840.7173515046499
13,2,100.0,986.3729655699544
14,1,500.0,1436.1807673659723
12,2,50.0,765.213417340529
6,1,50.0,851.5714341921047
4,12,50.0,825.9175147209207
1,15,100.0,795.79
15,1,100.0,795.79
13,4,100.0,1044.7447752791616
4,13,500.0,1046.1512652219665
16,2,1000.0,834.74
15,4,50.0,839.41
1,6,50.0,881.4340101524076
2,6,50.0,823.3421706298079
4,14,500.0,994.124499051559
12,4,500.0,827.8085815868102
2,15,50.0,795.79
4,15,50.0,839.41
6,2,1000.0,808.8361859617713
4,16,100.0,839.41
14,2,50.0,1238.2721202206835
12,1,100.0,807.3962979039834
4,6,100.0,870.043491628221
