srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,1.0,50000.0,18.47
1,4,2.5,20000.0,20.77
1,15,10.0,5000.0,29.72
2,4,5.0,10000.0,29.07
2,5,5.0,10000.0,25.15
3,17,5.0,10000.0,64.86
3,12,2.5,20000.0,18.25
3,4,2.5,20000.0,71.43
3,20,10.0,5000.0,95.88
5,8,2.5,20000.0,1.11
6,9,1.0,50000.0,9.71
6,7,10.0,5000.0,39.46
7,9,10.0,5000.0,48.92
7,15,10.0,5000.0,43.51
7,8,10.0,5000.0,7.54
8,10,10.0,5000.0,57.06
9,10,10.0,5000.0,2.61
10,13,10.0,5000.0,19.03
10,14,1.0,50000.0,32.66
10,15,2.5,20000.0,56.53
10,16,10.0,5000.0,112.87
11,12,5.0,10000.0,56.75
11,20,1.0,50000.0,43.67
13,14,5.0,10000.0,23.28
14,15,10.0,5000.0,24.43
15,17,10.0,5000.0,101.95
16,17,5.0,10000.0,28.91
17,18,1.0,50000.0,41.9
18,19,10.0,5000.0,20.2
19,20,1.0,50000.0,16.02
2,1,1.0,50000.0,18.47
4,1,2.5,20000.0,20.77
15,1,10.0,5000.0,29.72
4,2,5.0,10000.0,29.07
5,2,5.0,10000.0,25.15
17,3,5.0,10000.0,64.86
12,3,2.5,20000.0,18.25
4,3,2.5,20000.0,71.43
20,3,10.0,5000.0,95.88
8,5,2.5,20000.0,1.11
9,6,1.0,50000.0,9.71
7,6,10.0,5000.0,39.46
9,7,10.0,5000.0,48.92
15,7,10.0,5000.0,43.51
8,7,10.0,5000.0,7.54
10,8,10.0,5000.0,57.06
10,9,10.0,5000.0,2.61
13,10,10.0,5000.0,19.03
14,10,1.0,50000.0,32.66
15,10,2.5,20000.0,56.53
16,10,10.0,5000.0,112.87
12,11,5.0,10000.0,56.75
20,11,1.0,50000.0,43.67
14,13,5.0,10000.0,23.28
15,14,10.0,5000.0,24.43
17,15,10.0,5000.0,101.95
17,16,5.0,10000.0,28.91
18,17,1.0,50000.0,41.9
19,18,10.0,5000.0,20.2
20,19,1.0,50000.0,16.02
