srcNodeId,dstNodeId,bandwidth,latency
16,1,100.0,163.15090570352766
20,13,50.0,291.8240727165771
9,1,100.0,185.9
11,7,500.0,209.89552093592567
10,2,100.0,296.89
2,1,500.0,253.46
7,5,100.0,218.87
14,6,50.0,132.63
10,15,500.0,332.11
1,20,50.0,200.255759866078
18,4,500.0,354.5539982749313
5,20,50.0,235.21324123165184
14,8,1000.0,238.21
10,20,100.0,224.23241030086194
18,7,100.0,193.83227069359617
19,8,50.0,252.5761328571236
10,7,500.0,317.27
1,17,50.0,133.72575658301756
12,18,500.0,240.7977492580319
16,7,1000.0,189.07486271587675
13,6,1000.0,106.35
17,7,1000.0,228.87308621941034
15,1,500.0,222.41
5,7,50.0,218.87
1,18,100.0,182.3629971395206
19,4,500.0,197.12980484834438
11,1,500.0,315.7121158492917
15,6,100.0,289.41
3,16,50.0,132.93316740511398
15,16,1000.0,139.0861305652211
11,14,100.0,268.0180547070536
17,6,100.0,156.50273125018597
8,13,1000.0,225.26
13,14,500.0,332.11
12,8,50.0,151.70249106435693
8,20,50.0,242.05268891899777
1,12,100.0,142.3021128488319
17,12,50.0,124.15076312187671
1,10,500.0,279.0
5,3,500.0,131.15296173996447
20,6,50.0,246.4072121988627
5,18,1000.0,196.4739830152554
1,13,100.0,132.12
10,8,50.0,307.1
9,2,1000.0,184.39
1,5,50.0,248.42
13,2,100.0,195.07
4,7,500.0,182.13
3,10,50.0,185.17077435944657
15,2,50.0,323.31
8,18,1000.0,238.62963815318724
1,19,100.0,199.474514726707
3,8,50.0,132.77497573176268
4,17,1000.0,164.07222714717597
4,11,100.0,201.81221398869852
10,4,50.0,270.12
8,9,50.0,231.46
9,8,50.0,231.46
15,20,100.0,353.6084163195077
9,3,50.0,208.9410572442613
2,11,50.0,180.89805551953344
1,4,500.0,221.53
16,4,50.0,222.79475269883497
15,18,100.0,270.47428702414425
7,9,50.0,317.27
6,13,1000.0,106.35
14,19,1000.0,191.02693202657954
4,19,50.0,202.14938485435448
7,12,50.0,155.4630432573507
2,17,500.0,162.9862323168576
20,4,50.0,179.49990229548555
4,12,100.0,141.45175007364162
4,2,1000.0,217.81
14,10,1000.0,332.11
14,16,100.0,169.16860549596976
6,8,50.0,223.03
4,15,50.0,201.62
16,5,50.0,212.28434963538098
9,7,500.0,317.27
8,16,50.0,268.2899415739474
11,13,100.0,306.2005293477563
19,3,50.0,134.19933521760595
18,13,50.0,230.1896743593103
1,8,50.0,248.42
15,13,50.0,265.51
13,1,50.0,132.12
11,15,50.0,310.6464928403537
10,13,100.0,332.11
7,11,100.0,212.43311324161033
3,19,500.0,123.26639871744499
9,14,50.0,200.01
17,2,50.0,151.58933912393334
13,4,50.0,147.20571345562027
20,15,100.0,358.2187904567292
16,20,50.0,142.94167773013723
20,14,100.0,216.33059579508813
20,5,50.0,254.23162780211527
7,14,100.0,257.6
7,10,100.0,317.27
12,6,50.0,241.83300268926018
12,9,50.0,210.7902459315265
6,11,50.0,248.9367535558995
18,8,50.0,227.28907175177878
14,20,100.0,258.94586421947747
7,15,1000.0,311.91
10,3,50.0,182.55032978412552
17,11,1000.0,137.8534531551044
6,15,100.0,289.41
20,12,1000.0,152.16562163635348
11,10,50.0,259.7379721635009
3,13,100.0,260.598402915317
13,15,500.0,265.51
12,15,100.0,172.06633554420674
6,7,50.0,317.27
12,5,100.0,153.37592518427817
12,2,100.0,120.90643066329064
4,1,500.0,221.53
18,5,50.0,240.1445863751886
2,4,500.0,217.81
20,10,50.0,228.4908788393843
18,15,50.0,213.2899611480434
3,14,100.0,171.00174584241915
7,13,500.0,246.42
7,6,50.0,317.27
17,4,50.0,180.49282718531876
13,10,50.0,332.11
18,10,50.0,185.0224466053459
18,12,500.0,221.23529261367995
6,9,1000.0,317.27
14,13,1000.0,332.11
15,10,500.0,332.11
10,14,500.0,332.11
1,2,100.0,253.46
