srcNodeId,dstNodeId,bandwidth,latency
13,29,50.0,72.23355373592082
30,24,50.0,121.1
5,29,500.0,158.41
6,7,500.0,152.1
18,30,100.0,155.62
1,5,100.0,153.31
13,14,500.0,296.2689962689221
9,33,100.0,142.89
24,7,500.0,41.39
9,34,1000.0,126.01
18,3,100.0,89.37058345752493
18,33,50.0,32.17
36,24,100.0,40.3077115438575
8,18,100.0,54.58
24,3,1000.0,51.58794829261997
29,24,100.0,88.7789320760456
33,18,1000.0,32.17
14,24,1000.0,329.3767724216267
23,5,1000.0,168.48
4,5,500.0,153.31
6,28,100.0,164.9920276961903
18,35,1000.0,39.54516524913568
4,13,100.0,45.74
13,28,100.0,186.0576559647859
9,29,100.0,157.76
34,24,50.0,20.82
30,13,50.0,121.1
24,36,1000.0,39.44193636155215
36,13,50.0,55.23217908096741
9,1,50.0,152.1
18,6,500.0,54.9
28,24,500.0,264.3475809472026
24,14,50.0,364.9647779311067
7,5,50.0,153.31
28,13,500.0,283.2803265179741
18,8,100.0,54.58
5,30,50.0,118.39280337272962
14,13,100.0,253.41219113998017
30,8,500.0,126.4682705035477
30,6,50.0,106.84307709738282
12,24,100.0,46.67
28,6,500.0,143.29754189603767
18,12,500.0,37.31
8,30,500.0,158.64664910949594
30,5,50.0,116.02285628989168
14,6,100.0,198.976860166166
6,18,100.0,54.9
18,14,50.0,239.57628779322908
6,14,50.0,198.964458913815
5,28,500.0,155.78542718536818
14,9,500.0,194.85931502395547
14,18,100.0,383.07037749546396
24,28,50.0,139.11574502476842
30,9,50.0,102.86447305084228
24,12,1000.0,46.67
28,18,500.0,147.56133481335235
9,28,50.0,197.27545594810334
9,14,100.0,194.77661969241169
9,30,50.0,103.24663784695132
12,18,100.0,37.31
6,30,50.0,106.47092382289475
28,9,50.0,104.34025243763048
5,18,50.0,54.9
28,5,100.0,146.0359355139944
