srcNodeId,dstNodeId,cost,bandwidth,latency
1,4,5.0,10000.0,4.69
1,7,1.0,50000.0,4.7
2,7,1.0,50000.0,4.48
3,4,1.0,50000.0,2.22
3,29,5.0,10000.0,6.17
5,6,10.0,5000.0,7.99
5,8,5.0,10000.0,7.31
6,9,1.0,50000.0,3.82
7,12,1.0,50000.0,2.64
8,12,10.0,5000.0,11.02
8,15,5.0,10000.0,20.37
9,18,5.0,10000.0,6.08
9,13,1.0,50000.0,4.67
9,15,2.5,20000.0,11.3
9,10,10.0,5000.0,9.43
11,18,5.0,10000.0,5.15
12,28,5.0,10000.0,99.98
12,15,2.5,20000.0,20.62
13,15,1.0,50000.0,7.28
13,17,1.0,50000.0,7.59
13,18,1.0,50000.0,4.25
13,24,5.0,10000.0,5.08
13,25,5.0,10000.0,6.48
14,28,2.5,20000.0,103.85
14,30,5.0,10000.0,96.98
14,15,1.0,50000.0,183.39
15,34,1.0,50000.0,3.67
15,37,5.0,10000.0,167.73
15,19,1.0,50000.0,6.73
15,20,1.0,50000.0,4.14
15,21,5.0,10000.0,4.64
15,22,1.0,50000.0,8.2
15,24,2.5,20000.0,6.65
15,27,5.0,10000.0,7.23
15,28,10.0,5000.0,89.82
15,30,2.5,20000.0,91.33
16,17,2.5,20000.0,187.45
23,36,10.0,5000.0,10.39
23,29,10.0,5000.0,11.19
26,27,2.5,20000.0,5.13
31,33,1.0,50000.0,4.18
32,33,2.5,20000.0,4.57
33,34,10.0,5000.0,8.44
33,35,1.0,50000.0,6.3
35,36,10.0,5000.0,8.29
4,1,5.0,10000.0,4.69
7,1,1.0,50000.0,4.7
7,2,1.0,50000.0,4.48
4,3,1.0,50000.0,2.22
29,3,5.0,10000.0,6.17
6,5,10.0,5000.0,7.99
8,5,5.0,10000.0,7.31
9,6,1.0,50000.0,3.82
12,7,1.0,50000.0,2.64
12,8,10.0,5000.0,11.02
15,8,5.0,10000.0,20.37
18,9,5.0,10000.0,6.08
13,9,1.0,50000.0,4.67
15,9,2.5,20000.0,11.3
10,9,10.0,5000.0,9.43
18,11,5.0,10000.0,5.15
28,12,5.0,10000.0,99.98
15,12,2.5,20000.0,20.62
15,13,1.0,50000.0,7.28
17,13,1.0,50000.0,7.59
18,13,1.0,50000.0,4.25
24,13,5.0,10000.0,5.08
25,13,5.0,10000.0,6.48
28,14,2.5,20000.0,103.85
30,14,5.0,10000.0,96.98
15,14,1.0,50000.0,183.39
34,15,1.0,50000.0,3.67
37,15,5.0,10000.0,167.73
19,15,1.0,50000.0,6.73
20,15,1.0,50000.0,4.14
21,15,5.0,10000.0,4.64
22,15,1.0,50000.0,8.2
24,15,2.5,20000.0,6.65
27,15,5.0,10000.0,7.23
28,15,10.0,5000.0,89.82
30,15,2.5,20000.0,91.33
17,16,2.5,20000.0,187.45
36,23,10.0,5000.0,10.39
29,23,10.0,5000.0,11.19
27,26,2.5,20000.0,5.13
33,31,1.0,50000.0,4.18
33,32,2.5,20000.0,4.57
34,33,10.0,5000.0,8.44
35,33,1.0,50000.0,6.3
36,35,10.0,5000.0,8.29
