srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,10.0,5000.0,112.87
1,3,2.5,20000.0,126.78
1,4,10.0,5000.0,103.58
1,5,5.0,10000.0,69.71
1,6,2.5,20000.0,73.19
1,7,10.0,5000.0,74.85
1,8,1.0,50000.0,80.19
1,9,10.0,5000.0,29.21
2,3,2.5,20000.0,57.2
2,4,10.0,5000.0,90.24
2,5,1.0,50000.0,135.31
2,6,5.0,10000.0,175.9
2,7,5.0,10000.0,186.73
2,8,2.5,20000.0,192.11
2,9,5.0,10000.0,140.1
3,4,2.5,20000.0,49.67
3,5,10.0,5000.0,117.41
3,6,5.0,10000.0,170.4
3,7,10.0,5000.0,194.5
3,8,1.0,50000.0,203.86
3,9,1.0,50000.0,148.24
4,5,2.5,20000.0,71.43
4,6,10.0,5000.0,128.71
4,7,2.5,20000.0,158.63
4,8,1.0,50000.0,170.89
4,9,10.0,5000.0,117.49
5,6,10.0,5000.0,58.67
5,7,10.0,5000.0,94.93
5,8,5.0,10000.0,109.3
5,9,1.0,50000.0,64.62
6,7,10.0,5000.0,43.47
6,8,1.0,50000.0,59.11
6,9,10.0,5000.0,47.79
7,8,10.0,5000.0,16.8
7,9,1.0,50000.0,47.06
8,9,1.0,50000.0,55.68
2,1,10.0,5000.0,112.87
3,1,2.5,20000.0,126.78
4,1,10.0,5000.0,103.58
5,1,5.0,10000.0,69.71
6,1,2.5,20000.0,73.19
7,1,10.0,5000.0,74.85
8,1,1.0,50000.0,80.19
9,1,10.0,5000.0,29.21
3,2,2.5,20000.0,57.2
4,2,10.0,5000.0,90.24
5,2,1.0,50000.0,135.31
6,2,5.0,10000.0,175.9
7,2,5.0,10000.0,186.73
8,2,2.5,20000.0,192.11
9,2,5.0,10000.0,140.1
4,3,2.5,20000.0,49.67
5,3,10.0,5000.0,117.41
6,3,5.0,10000.0,170.4
7,3,10.0,5000.0,194.5
8,3,1.0,50000.0,203.86
9,3,1.0,50000.0,148.24
5,4,2.5,20000.0,71.43
6,4,10.0,5000.0,128.71
7,4,2.5,20000.0,158.63
8,4,1.0,50000.0,170.89
9,4,10.0,5000.0,117.49
6,5,10.0,5000.0,58.67
7,5,10.0,5000.0,94.93
8,5,5.0,10000.0,109.3
9,5,1.0,50000.0,64.62
7,6,10.0,5000.0,43.47
8,6,1.0,50000.0,59.11
9,6,10.0,5000.0,47.79
8,7,10.0,5000.0,16.8
9,7,1.0,50000.0,47.06
9,8,1.0,50000.0,55.68
