srcNodeId,dstNodeId,cost,bandwidth,latency
1,4,5.0,10000.0,17.11
1,8,2.5,20000.0,35.12
2,10,5.0,10000.0,112.86
2,16,1.0,50000.0,93.36
3,13,2.5,20000.0,68.55
3,6,2.5,20000.0,107.51
3,8,1.0,50000.0,34.81
4,10,2.5,20000.0,190.44
4,16,2.5,20000.0,53.65
5,10,2.5,20000.0,26.27
5,13,2.5,20000.0,142.04
5,16,1.0,50000.0,185.68
6,10,2.5,20000.0,51.19
6,13,10.0,5000.0,123.56
6,7,1.0,50000.0,9.33
6,16,5.0,10000.0,162.8
8,9,10.0,5000.0,17.94
8,13,2.5,20000.0,48.85
8,16,5.0,10000.0,46.95
10,11,10.0,5000.0,53.91
10,12,10.0,5000.0,81.46
10,13,10.0,5000.0,154.85
10,15,1.0,50000.0,206.29
10,16,2.5,20000.0,196.55
11,13,5.0,10000.0,104.68
12,13,1.0,50000.0,74.62
13,15,10.0,5000.0,64.1
13,16,5.0,10000.0,51.26
14,15,2.5,20000.0,9.7
15,16,2.5,20000.0,18.11
16,17,1.0,50000.0,43.22
4,1,5.0,10000.0,17.11
8,1,2.5,20000.0,35.12
10,2,5.0,10000.0,112.86
16,2,1.0,50000.0,93.36
13,3,2.5,20000.0,68.55
6,3,2.5,20000.0,107.51
8,3,1.0,50000.0,34.81
10,4,2.5,20000.0,190.44
16,4,2.5,20000.0,53.65
10,5,2.5,20000.0,26.27
13,5,2.5,20000.0,142.04
16,5,1.0,50000.0,185.68
10,6,2.5,20000.0,51.19
13,6,10.0,5000.0,123.56
7,6,1.0,50000.0,9.33
16,6,5.0,10000.0,162.8
9,8,10.0,5000.0,17.94
13,8,2.5,20000.0,48.85
16,8,5.0,10000.0,46.95
11,10,10.0,5000.0,53.91
12,10,10.0,5000.0,81.46
13,10,10.0,5000.0,154.85
15,10,1.0,50000.0,206.29
16,10,2.5,20000.0,196.55
13,11,5.0,10000.0,104.68
13,12,1.0,50000.0,74.62
15,13,10.0,5000.0,64.1
16,13,5.0,10000.0,51.26
15,14,2.5,20000.0,9.7
16,15,2.5,20000.0,18.11
17,16,1.0,50000.0,43.22
