srcNodeId,dstNodeId,bandwidth,latency
10,5,100.0,42.6
5,3,500.0,203.69559503762048
5,10,1000.0,42.6
8,3,50.0,82.48
2,1,500.0,239.0449530280468
5,13,50.0,249.982298843597
15,13,100.0,253.5743785909646
4,15,1000.0,162.52
12,1,500.0,316.102513048477
2,8,1000.0,188.62758472634962
1,11,1000.0,341.9815696579359
6,1,1000.0,199.79827923651067
12,8,1000.0,244.28145305747023
11,12,50.0,155.4774526117687
16,1,500.0,135.48557159093343
8,10,100.0,373.6893909864833
13,15,100.0,275.40233869827784
3,2,50.0,333.07286510153335
5,2,1000.0,224.15595145141094
15,16,1000.0,30.1
6,10,1000.0,83.20574704848005
1,15,1000.0,154.79
13,4,50.0,158.98396375490253
5,16,50.0,214.23399564300564
5,1,500.0,281.5968260140632
16,6,500.0,288.1571235289657
8,11,100.0,189.0020661834361
3,11,50.0,213.5063868345551
3,12,1000.0,256.96467132875773
4,5,1000.0,237.43007986151372
15,3,1000.0,147.86
12,16,100.0,272.0195225492454
4,2,500.0,173.95467738806488
5,15,1000.0,331.0898756548963
4,6,50.0,203.9033566120519
15,12,500.0,143.45127742506452
8,13,1000.0,65.39
4,3,50.0,169.75
15,8,500.0,90.5
12,11,1000.0,142.31308374729502
8,6,50.0,161.2520547407002
12,15,500.0,414.43479358540174
8,16,100.0,69.6
12,2,50.0,221.70295363701246
13,2,100.0,152.81154019169395
4,8,100.0,63.53
