srcNodeId,dstNodeId,cost,bandwidth,latency
1,9,1.0,50000.0,77.95
1,3,2.5,20000.0,110.69
1,4,2.5,20000.0,114.3
1,8,10.0,5000.0,18.7
2,3,1.0,50000.0,28.01
2,5,1.0,50000.0,206.3
2,6,5.0,10000.0,196.72
2,7,5.0,10000.0,172.52
2,8,2.5,20000.0,119.5
3,4,2.5,20000.0,197.37
3,9,1.0,50000.0,188.27
4,9,1.0,50000.0,87.72
4,5,2.5,20000.0,0.86
5,6,2.5,20000.0,16.11
5,7,1.0,50000.0,59.63
5,8,5.0,10000.0,110.15
6,7,10.0,5000.0,44.21
6,8,5.0,10000.0,95.58
7,9,1.0,50000.0,48.68
7,8,2.5,20000.0,58.22
9,1,1.0,50000.0,77.95
3,1,2.5,20000.0,110.69
4,1,2.5,20000.0,114.3
8,1,10.0,5000.0,18.7
3,2,1.0,50000.0,28.01
5,2,1.0,50000.0,206.3
6,2,5.0,10000.0,196.72
7,2,5.0,10000.0,172.52
8,2,2.5,20000.0,119.5
4,3,2.5,20000.0,197.37
9,3,1.0,50000.0,188.27
9,4,1.0,50000.0,87.72
5,4,2.5,20000.0,0.86
6,5,2.5,20000.0,16.11
7,5,1.0,50000.0,59.63
8,5,5.0,10000.0,110.15
7,6,10.0,5000.0,44.21
8,6,5.0,10000.0,95.58
9,7,1.0,50000.0,48.68
8,7,2.5,20000.0,58.22
