srcNodeId,dstNodeId,bandwidth,latency
9,4,50.0,214.11
7,3,100.0,226.87386004234182
6,4,50.0,164.63
8,5,100.0,219.08
7,2,50.0,227.43315564468642
4,8,50.0,204.89
1,5,50.0,158.62
3,5,500.0,233.15914998694097
1,9,100.0,213.79
2,7,100.0,203.2513944902659
5,6,50.0,160.38
5,2,500.0,367.06684059619
1,8,100.0,149.24
1,2,100.0,248.99898173040106
4,2,100.0,209.05630518495542
5,4,100.0,157.66
7,6,100.0,177.13
2,6,1000.0,207.46753242267056
3,2,500.0,42.96
3,9,500.0,256.39311830187717
2,5,500.0,321.275216761738
1,3,1000.0,244.15077735567044
9,1,50.0,213.79
8,4,50.0,204.89
4,5,100.0,157.66
4,3,50.0,214.06136632937364
5,7,100.0,179.7
7,1,50.0,177.78
2,1,100.0,256.4464735550397
8,2,100.0,194.00750183220612
1,6,500.0,141.97
9,3,1000.0,266.23001551947976
9,7,50.0,180.39
3,8,1000.0,137.90872188480168
3,6,500.0,246.70863956550886
6,1,1000.0,141.97
6,7,50.0,177.13
5,8,50.0,219.08
2,4,1000.0,271.1404046455699
6,9,500.0,182.39
9,8,500.0,214.11
6,2,1000.0,207.19474637422547
8,1,1000.0,149.24
7,8,500.0,177.78
7,9,500.0,180.39
3,4,100.0,262.8366597515725
4,7,50.0,168.68
2,9,100.0,216.17574688505792
1,4,500.0,158.45
2,8,1000.0,184.2229399491821
4,9,100.0,214.11
7,5,1000.0,179.7
9,2,1000.0,216.15036585790193
5,3,50.0,227.434091833748
8,3,100.0,138.82734831872892
6,5,500.0,160.38
8,7,50.0,177.78
3,7,500.0,209.78933535342782
3,1,500.0,193.4801526285777
8,9,50.0,214.11
2,3,500.0,42.96
7,4,500.0,168.68
1,7,50.0,177.78
8,6,50.0,201.28
6,3,500.0,230.03525717511286
4,1,50.0,158.45
9,5,100.0,210.76
6,8,50.0,201.28
9,6,1000.0,182.39
4,6,50.0,164.63
5,9,1000.0,210.76
5,1,50.0,158.62
