srcNodeId,dstNodeId,bandwidth,latency
16,14,500.0,65.79
21,10,50.0,57.62
20,15,50.0,112.25930206089167
2,21,50.0,78.09
20,2,100.0,88.29
18,14,50.0,57.98
22,2,50.0,57.808453256182986
10,3,50.0,74.89
16,19,100.0,98.94845172689662
17,4,50.0,71.3
18,21,1000.0,49.05
1,21,50.0,75.89
20,19,500.0,58.55
2,1,500.0,48.52
22,10,100.0,51.839201631367374
15,3,500.0,118.45969031730289
13,19,1000.0,47.27175461312413
2,13,100.0,50.81
14,19,1000.0,36.07
21,14,50.0,49.28
10,15,50.0,67.40436289982372
1,14,500.0,77.98
16,18,1000.0,32.92
19,17,100.0,45.58
20,10,50.0,68.07
16,21,50.0,48.66
15,13,100.0,72.76954502256524
10,19,1000.0,48.33
4,19,500.0,52.151382709125954
22,14,100.0,56.923757624780315
22,1,100.0,84.61386254627335
4,14,1000.0,100.36
20,1,1000.0,113.6
15,22,50.0,125.65877504567572
14,16,1000.0,65.79
18,20,50.0,50.41
22,15,50.0,170.8891405131963
2,18,50.0,53.0
13,3,50.0,71.36
13,4,50.0,78.67
4,10,100.0,80.17
14,15,1000.0,78.27902369523655
19,15,1000.0,143.13468043115137
