srcNodeId,dstNodeId,cost,bandwidth,latency
1,4,2.5,20000.0,13.4
1,15,5.0,10000.0,33.36
1,16,10.0,5000.0,9.86
2,10,2.5,20000.0,6.64
2,3,5.0,10000.0,6.35
2,4,2.5,20000.0,11.34
3,4,5.0,10000.0,17.3
3,13,2.5,20000.0,2.54
3,10,5.0,10000.0,1.01
4,7,5.0,10000.0,1.77
5,6,1.0,50000.0,10.51
5,8,1.0,50000.0,11.26
6,9,5.0,10000.0,18.53
7,8,2.5,20000.0,7.91
10,20,2.5,20000.0,10.96
10,14,5.0,10000.0,3.02
11,22,1.0,50000.0,109.85
12,22,2.5,20000.0,77.56
13,14,10.0,5000.0,1.55
14,21,1.0,50000.0,12.67
15,16,5.0,10000.0,25.16
16,17,5.0,10000.0,14.25
17,18,1.0,50000.0,5.08
17,20,2.5,20000.0,21.15
18,19,10.0,5000.0,25.82
19,20,10.0,5000.0,16.48
19,22,5.0,10000.0,39.99
20,21,1.0,50000.0,11.26
21,22,1.0,50000.0,32.88
4,1,2.5,20000.0,13.4
15,1,5.0,10000.0,33.36
16,1,10.0,5000.0,9.86
10,2,2.5,20000.0,6.64
3,2,5.0,10000.0,6.35
4,2,2.5,20000.0,11.34
4,3,5.0,10000.0,17.3
13,3,2.5,20000.0,2.54
10,3,5.0,10000.0,1.01
7,4,5.0,10000.0,1.77
6,5,1.0,50000.0,10.51
8,5,1.0,50000.0,11.26
9,6,5.0,10000.0,18.53
8,7,2.5,20000.0,7.91
20,10,2.5,20000.0,10.96
14,10,5.0,10000.0,3.02
22,11,1.0,50000.0,109.85
22,12,2.5,20000.0,77.56
14,13,10.0,5000.0,1.55
21,14,1.0,50000.0,12.67
16,15,5.0,10000.0,25.16
17,16,5.0,10000.0,14.25
18,17,1.0,50000.0,5.08
20,17,2.5,20000.0,21.15
19,18,10.0,5000.0,25.82
20,19,10.0,5000.0,16.48
22,19,5.0,10000.0,39.99
21,20,1.0,50000.0,11.26
22,21,1.0,50000.0,32.88
