srcNodeId,dstNodeId,cost,bandwidth,latency
1,3,5.0,15000.0,335.38
1,4,1.0,50000.0,17.97
2,6,5.0,10000.0,24.29
2,7,2.5,20000.0,17.36
2,8,5.0,10000.0,13.53
3,10,1.0,55000.0,48.68
3,15,10.0,5000.0,90.03
5,18,1.0,100000.0,311.22
5,6,5.0,65000.0,18.55
5,7,5.0,50000.0,18.2
5,8,1.0,50000.0,8.74
7,9,5.0,20000.0,279.56
9,17,2.5,20000.0,27.96
9,18,1.0,155000.0,17.6
9,16,1.0,55000.0,57.5
10,18,10.0,20000.0,43.25
10,14,10.0,5000.0,128.71
10,16,2.5,20000.0,47.34
11,12,10.0,5000.0,57.65
11,16,1.0,50000.0,139.86
12,18,1.0,50000.0,192.86
12,13,5.0,50000.0,24.9
12,16,1.0,100000.0,148.24
13,14,10.0,60000.0,29.37
13,15,10.0,5000.0,100.36
13,16,10.0,5000.0,140.97
14,15,2.5,30000.0,71.43
15,18,10.0,15000.0,94.22
15,16,5.0,10000.0,64.86
16,17,10.0,5000.0,35.81
16,18,10.0,55000.0,46.4
3,1,10.0,5000.0,335.68
4,1,1.0,50000.0,17.97
6,2,5.0,10000.0,24.29
7,2,2.5,20000.0,17.36
8,2,5.0,10000.0,13.53
10,3,10.0,5000.0,49.22
15,3,10.0,5000.0,90.03
18,5,1.0,50000.0,311.22
6,5,10.0,5000.0,18.85
7,5,2.5,20000.0,18.05
8,5,1.0,50000.0,8.74
9,7,5.0,10000.0,279.56
17,9,2.5,20000.0,27.96
18,9,1.0,50000.0,17.6
16,9,10.0,5000.0,58.04
18,10,10.0,5000.0,43.25
14,10,10.0,5000.0,128.71
16,10,2.5,20000.0,47.34
12,11,10.0,5000.0,57.65
16,11,1.0,50000.0,139.86
18,12,1.0,50000.0,192.86
13,12,2.5,20000.0,24.75
16,12,1.0,50000.0,148.24
14,13,1.0,50000.0,28.83
15,13,10.0,5000.0,100.36
16,13,10.0,5000.0,140.97
15,14,5.0,10000.0,71.58
18,15,5.0,10000.0,93.92
16,15,5.0,10000.0,64.86
17,16,10.0,5000.0,35.81
18,16,1.0,50000.0,45.86
