srcNodeId,dstNodeId,bandwidth,latency
6,5,50.0,176.52
17,2,500.0,423.36706407327904
13,16,500.0,145.61172374151897
11,6,50.0,767.8599839108662
15,12,50.0,200.30175781555027
2,11,1000.0,517.0086066201749
10,16,500.0,71.77
2,7,50.0,177.64
9,18,1000.0,61.25
5,13,500.0,505.76242770201964
15,7,100.0,520.1540293029411
3,14,500.0,173.2731030431052
16,18,1000.0,47.58
15,2,1000.0,638.8556250634282
5,16,500.0,355.30685595290737
11,18,50.0,276.0009721680341
13,2,50.0,517.1413104120887
7,2,500.0,177.64
11,2,1000.0,614.911184255635
10,15,100.0,138.59
13,10,1000.0,167.1057971486208
3,12,500.0,218.85212167255935
15,3,50.0,138.59
18,2,100.0,329.4859978943255
15,8,100.0,695.4227830266811
2,12,50.0,509.6210201788542
17,5,100.0,331.1547536393051
9,11,100.0,258.0011717189655
10,18,1000.0,85.67
3,7,100.0,715.4664731886808
16,2,50.0,624.5439359338744
5,11,500.0,496.20172777725213
11,3,50.0,384.88745683120817
18,11,1000.0,360.31570563927437
18,6,50.0,598.0690326532081
7,10,50.0,396.99036396252865
3,6,50.0,765.1202896762595
12,17,100.0,219.22325027612666
18,10,50.0,85.67
12,15,500.0,189.1317520388935
13,17,1000.0,215.31051888632473
8,17,50.0,354.5663893876977
18,3,100.0,140.4
13,8,100.0,532.523837184903
14,9,50.0,246.2060755268301
8,2,500.0,176.52
13,12,50.0,28.06
6,12,50.0,522.5944326047778
12,5,50.0,503.94711608866345
3,15,1000.0,138.59
15,9,100.0,288.59568925070937
10,6,1000.0,622.4184131097368
17,6,1000.0,370.5910793859655
9,15,100.0,114.67041032645989
14,15,50.0,105.12643898396443
17,11,100.0,178.85242315010998
10,12,100.0,183.28630149007358
14,8,100.0,527.7109387063376
11,9,1000.0,285.308151266877
9,6,50.0,327.64077298982033
8,10,100.0,399.4358603786057
7,5,1000.0,176.52
8,13,1000.0,527.2187437383244
14,16,500.0,154.80851383832731
11,8,50.0,707.1043312107258
18,5,100.0,577.5649150832678
2,5,500.0,176.52
18,9,1000.0,61.25
11,17,100.0,464.5138748774857
14,18,100.0,204.15945896517974
11,7,500.0,662.925653822897
16,3,500.0,105.21
6,14,1000.0,681.0615878212388
3,18,500.0,140.4
3,11,500.0,287.816257653228
3,8,1000.0,753.4347203022207
17,7,100.0,453.6677637996245
18,7,100.0,307.3383699180881
14,10,50.0,199.89739633825116
5,18,50.0,480.80449368683617
18,12,500.0,205.63813139105602
13,3,500.0,219.02245874032016
14,6,50.0,541.9328533255762
3,9,1000.0,142.37
5,2,100.0,176.52
8,9,500.0,332.04168175325793
9,14,500.0,188.05014326603452
5,17,1000.0,333.8910361179882
2,3,50.0,420.92123302953155
10,5,500.0,436.61910120335705
18,13,50.0,206.99542960442588
15,13,100.0,100.36081010280415
17,12,500.0,223.7609297612243
15,11,500.0,203.59000802958272
2,13,1000.0,541.6217281396351
17,14,1000.0,211.26625964309494
6,7,100.0,173.79
13,5,50.0,520.8701856454869
11,14,50.0,127.42229049801173
15,10,500.0,138.59
11,15,500.0,202.292169102856
13,11,500.0,175.89264925366993
15,5,50.0,477.3693991708555
2,16,50.0,380.9546809984086
13,7,500.0,492.32006471995896
17,8,100.0,364.0415882396995
7,12,1000.0,512.1144426177569
6,11,500.0,514.2425737237616
8,3,50.0,449.48126292129405
14,12,1000.0,80.97697863260811
9,13,50.0,222.44391233644444
10,11,100.0,199.33256128889371
9,8,500.0,331.86975661366523
15,14,50.0,114.28542864222399
18,15,100.0,118.48609546636611
16,14,50.0,232.24486247544186
9,12,1000.0,370.56382300370996
16,15,500.0,77.28
5,10,1000.0,354.496936212915
17,10,1000.0,99.47
5,14,1000.0,879.8358900297623
12,14,1000.0,213.9657022654926
12,10,500.0,187.24784195836042
7,16,100.0,337.58892769299354
8,6,1000.0,195.77
12,18,100.0,239.69941315922097
7,3,1000.0,444.7277345522872
6,18,500.0,636.9429459074609
2,9,100.0,317.0583895339625
12,3,50.0,241.33225500525782
12,9,500.0,208.03488861215754
9,16,1000.0,73.19741410722455
17,13,500.0,224.0086600788316
12,6,100.0,522.5371478001151
5,9,50.0,305.8629650337574
16,5,500.0,617.6609974454911
10,9,50.0,94.4
6,10,1000.0,403.38588344071115
2,18,1000.0,324.42426002508785
8,7,50.0,159.3
12,7,100.0,506.8455134776287
11,13,500.0,242.06969327695782
3,16,500.0,105.21
8,14,500.0,919.3210868636081
13,18,500.0,206.10876930209847
5,7,500.0,176.52
14,2,50.0,545.1501148815505
6,13,100.0,544.9223602301386
13,15,1000.0,124.31056371410024
10,13,50.0,166.58383287063833
5,3,500.0,409.09565657094674
14,13,100.0,32.02
10,7,100.0,378.2759444491778
12,13,500.0,28.06
14,3,50.0,199.68461326050885
5,15,50.0,472.4382419377239
7,6,50.0,173.79
7,8,500.0,159.3
8,16,100.0,365.1726307057583
2,17,50.0,371.0159938499136
7,9,50.0,303.4395509448114
18,16,500.0,47.58
16,12,100.0,265.7953994052169
17,18,50.0,78.08
2,10,1000.0,379.8549614875335
8,15,500.0,675.4771949773149
10,14,50.0,154.10087120559433
5,6,1000.0,176.52
7,15,50.0,416.0580428307269
3,10,100.0,138.59
7,18,100.0,323.06421189372355
2,8,100.0,176.52
18,14,1000.0,194.11035301224214
11,10,500.0,192.54032528818118
7,14,1000.0,494.611076180463
9,10,100.0,94.4
15,16,50.0,77.28
6,16,500.0,375.0326864702988
7,11,50.0,488.30158706407565
6,15,50.0,615.4337293536026
7,17,100.0,321.4945522080226
15,18,500.0,255.99795802715872
7,13,1000.0,526.1432764678536
12,16,1000.0,166.62838599454494
8,5,50.0,176.52
3,13,100.0,238.47625702979008
2,14,500.0,484.66782412258965
6,8,100.0,195.77
5,12,50.0,503.81064695432156
8,18,1000.0,638.3035439984409
13,9,50.0,231.130088799722
13,14,500.0,32.02
6,2,50.0,176.52
16,13,1000.0,153.31664611107732
2,6,500.0,176.52
8,12,100.0,512.4340363043436
2,15,50.0,418.42680937488797
16,9,50.0,79.3002540127343
