srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,1.0,50000.0,18.91
1,3,2.5,20000.0,19.57
1,4,1.0,50000.0,22.21
1,13,1.0,50000.0,294.56
2,4,5.0,10000.0,27.33
2,7,10.0,5000.0,21.97
2,8,1.0,50000.0,60.08
3,13,10.0,5000.0,285.93
3,24,5.0,10000.0,299.97
4,24,10.0,5000.0,316.77
5,6,10.0,5000.0,7.57
5,9,2.5,20000.0,2.57
5,10,10.0,5000.0,250.58
5,14,1.0,50000.0,244.58
5,20,2.5,20000.0,27.44
5,24,1.0,50000.0,194.35
6,10,2.5,20000.0,245.26
9,10,5.0,10000.0,246.93
10,13,5.0,10000.0,180.94
10,14,1.0,50000.0,0.67
10,19,10.0,5000.0,281.82
10,22,1.0,50000.0,178.35
11,12,5.0,10000.0,3.33
11,13,5.0,10000.0,3.33
12,13,2.5,20000.0,1.67
12,23,2.5,20000.0,29.48
13,20,10.0,5000.0,203.89
13,22,1.0,50000.0,58.1
13,24,1.0,50000.0,18.21
14,17,5.0,10000.0,799.79
14,18,5.0,10000.0,663.52
15,21,1.0,50000.0,58.73
15,24,10.0,5000.0,49.31
16,24,1.0,50000.0,75.33
20,21,2.5,20000.0,101.43
21,22,2.5,20000.0,66.22
21,24,2.5,20000.0,95.28
2,1,1.0,50000.0,18.91
3,1,2.5,20000.0,19.57
4,1,1.0,50000.0,22.21
13,1,1.0,50000.0,294.56
4,2,5.0,10000.0,27.33
7,2,10.0,5000.0,21.97
8,2,1.0,50000.0,60.08
13,3,10.0,5000.0,285.93
24,3,5.0,10000.0,299.97
24,4,10.0,5000.0,316.77
6,5,10.0,5000.0,7.57
9,5,2.5,20000.0,2.57
10,5,10.0,5000.0,250.58
14,5,1.0,50000.0,244.58
20,5,2.5,20000.0,27.44
24,5,1.0,50000.0,194.35
10,6,2.5,20000.0,245.26
10,9,5.0,10000.0,246.93
13,10,5.0,10000.0,180.94
14,10,1.0,50000.0,0.67
19,10,10.0,5000.0,281.82
22,10,1.0,50000.0,178.35
12,11,5.0,10000.0,3.33
13,11,5.0,10000.0,3.33
13,12,2.5,20000.0,1.67
23,12,2.5,20000.0,29.48
20,13,10.0,5000.0,203.89
22,13,1.0,50000.0,58.1
24,13,1.0,50000.0,18.21
17,14,5.0,10000.0,799.79
18,14,5.0,10000.0,663.52
21,15,1.0,50000.0,58.73
24,15,10.0,5000.0,49.31
24,16,1.0,50000.0,75.33
21,20,2.5,20000.0,101.43
22,21,2.5,20000.0,66.22
24,21,2.5,20000.0,95.28
