srcNodeId,dstNodeId,bandwidth,latency
1,15,1000.0,385.7
4,20,1000.0,519.7022677334177
5,10,1000.0,613.51
15,13,1000.0,258.31
13,22,100.0,174.6
2,20,50.0,539.9760323957278
3,6,100.0,707.2964958354148
6,1,500.0,596.7478486914534
11,14,500.0,213.0000686269019
15,1,500.0,385.7
5,14,1000.0,613.51
1,21,500.0,417.79
21,12,500.0,361.29
22,4,100.0,572.2871961785995
12,20,1000.0,398.33
9,11,50.0,351.85
24,4,1000.0,353.54
3,1,500.0,405.69
12,9,100.0,348.53
14,6,50.0,554.93
6,11,1000.0,350.92
24,5,100.0,374.81
14,15,500.0,317.87517209437294
6,22,100.0,353.02
12,21,50.0,361.29
15,3,500.0,387.05
1,6,1000.0,650.1650445711729
15,21,1000.0,354.84
14,4,500.0,730.8363027676924
3,9,500.0,529.0621352484798
1,20,500.0,519.4932568950916
21,4,1000.0,422.2439494449812
21,15,100.0,354.84
11,6,500.0,350.92
21,9,50.0,241.69
20,11,500.0,398.33
9,13,500.0,316.61
6,15,50.0,340.0503119149588
4,2,100.0,267.83
5,11,100.0,352.44
3,22,100.0,379.27
3,12,50.0,395.15
4,5,1000.0,524.1910976272368
20,21,50.0,391.26
4,10,50.0,552.9077598205055
24,22,500.0,95.82
20,14,1000.0,440.81
10,20,1000.0,449.73
20,13,1000.0,371.05
3,5,1000.0,513.8499399987617
4,3,500.0,342.15
10,6,1000.0,613.51
11,9,50.0,351.85
24,6,1000.0,273.17
1,10,100.0,502.5534438073212
24,10,500.0,261.76
5,12,100.0,350.78
2,15,50.0,443.32940143944165
2,12,1000.0,396.84
2,24,50.0,344.58
9,4,1000.0,527.9600970218543
1,12,50.0,395.15
10,21,1000.0,332.96
15,9,50.0,262.45550737840523
12,6,50.0,348.19
6,4,100.0,750.0581969923999
11,4,50.0,414.02
15,20,100.0,216.14
20,12,1000.0,398.33
5,21,50.0,296.12
2,11,1000.0,400.16
5,13,100.0,419.49
13,20,100.0,371.05
3,4,50.0,342.15
13,3,500.0,360.89
14,3,100.0,469.84411544646105
21,22,100.0,223.7
22,15,500.0,219.94
6,13,50.0,309.94
10,24,1000.0,261.76
21,14,1000.0,332.96
24,21,500.0,354.84
2,10,50.0,502.47896236186057
3,20,500.0,498.8397839408648
13,1,1000.0,387.27
21,13,50.0,193.21
10,1,50.0,483.5644674756714
13,10,500.0,366.95
22,1,50.0,387.94
22,13,100.0,174.6
9,21,100.0,241.69
22,24,50.0,95.82
4,13,100.0,405.76
24,14,50.0,253.25
24,1,500.0,402.5840075853015
1,5,50.0,1000.2634997933365
15,11,1000.0,305.8
13,9,50.0,316.61
5,15,100.0,292.973117927625
22,5,1000.0,457.11
1,4,50.0,267.83
24,15,50.0,354.84
22,3,500.0,379.27
3,24,100.0,304.91815143827887
21,24,100.0,354.84
11,3,50.0,395.15
9,3,1000.0,504.64804022465654
