srcNodeId,dstNodeId,bandwidth,latency
5,17,50.0,440.8
14,5,100.0,350.26
8,14,1000.0,221.91068885928982
4,10,100.0,341.78
10,12,500.0,230.66726919687392
2,17,1000.0,371.92
9,8,500.0,223.82
17,4,1000.0,271.84
17,13,50.0,257.156548549867
4,2,100.0,320.6
9,6,100.0,250.26
8,16,1000.0,356.39
4,13,1000.0,322.0017241252744
9,15,1000.0,372.12
16,12,100.0,215.17
3,15,500.0,335.1
10,2,100.0,347.25
6,10,1000.0,347.05
10,15,1000.0,326.39
2,9,100.0,262.12
16,10,100.0,305.09
9,16,500.0,322.0
15,3,50.0,335.1
3,16,50.0,388.31
17,3,500.0,279.23
12,15,500.0,294.96
15,17,1000.0,272.47
2,14,1000.0,206.49
16,3,50.0,388.31
16,15,500.0,311.08
4,6,50.0,309.02
6,4,1000.0,309.02
17,1,50.0,306.53
15,2,50.0,341.21
14,10,100.0,222.32
1,13,500.0,295.56352710907436
15,16,100.0,311.08
10,6,50.0,347.05
12,10,1000.0,235.67448349260533
17,8,500.0,360.39
4,16,500.0,324.81
16,1,100.0,309.06
14,7,50.0,280.19
16,8,100.0,356.39
13,10,1000.0,204.04792838396327
14,8,500.0,219.6684937893186
17,6,100.0,353.4
17,15,50.0,272.47
14,2,50.0,206.49
13,8,100.0,261.73175485673744
10,1,500.0,307.29
9,4,500.0,208.51
14,6,50.0,232.25
12,4,50.0,437.8509832338292
12,5,50.0,334.88
10,8,500.0,326.44
13,6,50.0,229.9
7,14,50.0,280.19
17,9,500.0,250.76
6,8,500.0,319.77
10,17,100.0,295.38
8,9,50.0,223.82
2,15,50.0,341.21
5,14,50.0,350.26
14,9,500.0,296.13
12,7,500.0,233.87
3,13,500.0,184.3
17,18,100.0,361.16
16,13,500.0,201.4
14,12,500.0,186.74
7,12,100.0,233.87
13,17,50.0,269.29626471189454
12,6,500.0,229.24
1,15,500.0,285.0
15,1,100.0,285.0
13,16,1000.0,201.4
16,4,1000.0,324.81
10,14,50.0,222.32
8,13,50.0,267.2389682446523
8,6,1000.0,319.77
8,10,1000.0,326.44
10,4,500.0,341.78
10,9,50.0,274.95
4,17,50.0,271.84
2,12,50.0,316.6472566514796
15,9,500.0,372.12
15,4,50.0,313.52
6,12,50.0,229.24
4,12,100.0,296.9081001368805
3,12,50.0,226.6851083221269
16,14,50.0,220.87
4,15,50.0,313.52
13,3,50.0,184.3
9,10,100.0,274.95
5,12,500.0,334.88
12,9,50.0,280.75
7,9,50.0,250.27
9,2,50.0,262.12
13,2,50.0,257.89
1,14,100.0,423.6034707894469
9,14,50.0,296.13
10,13,1000.0,203.16691691099132
1,2,100.0,307.91
9,12,100.0,280.75
12,3,50.0,257.42083587404653
