srcNodeId,dstNodeId,cost,bandwidth,latency
1,4,1.0,50000.0,51.8
1,8,2.5,20000.0,72.57
2,18,10.0,5000.0,64.81
2,6,2.5,20000.0,19.91
2,7,10.0,5000.0,8.72
3,10,1.0,50000.0,37.29
3,4,2.5,20000.0,16.23
3,5,5.0,10000.0,16.5
5,9,1.0,50000.0,24.95
5,6,5.0,10000.0,29.28
5,7,10.0,5000.0,45.08
6,16,1.0,50000.0,44.36
7,17,5.0,10000.0,84.02
7,8,5.0,10000.0,9.82
9,13,2.5,20000.0,140.41
10,18,1.0,50000.0,21.58
11,12,1.0,50000.0,44.35
12,18,2.5,20000.0,151.19
12,13,5.0,10000.0,31.29
13,14,10.0,5000.0,35.44
14,15,10.0,5000.0,77.94
15,18,5.0,10000.0,67.89
15,16,1.0,50000.0,58.73
16,17,10.0,5000.0,40.12
4,1,1.0,50000.0,51.8
8,1,2.5,20000.0,72.57
18,2,10.0,5000.0,64.81
6,2,2.5,20000.0,19.91
7,2,10.0,5000.0,8.72
10,3,1.0,50000.0,37.29
4,3,2.5,20000.0,16.23
5,3,5.0,10000.0,16.5
9,5,1.0,50000.0,24.95
6,5,5.0,10000.0,29.28
7,5,10.0,5000.0,45.08
16,6,1.0,50000.0,44.36
17,7,5.0,10000.0,84.02
8,7,5.0,10000.0,9.82
13,9,2.5,20000.0,140.41
18,10,1.0,50000.0,21.58
12,11,1.0,50000.0,44.35
18,12,2.5,20000.0,151.19
13,12,5.0,10000.0,31.29
14,13,10.0,5000.0,35.44
15,14,10.0,5000.0,77.94
18,15,5.0,10000.0,67.89
16,15,1.0,50000.0,58.73
17,16,10.0,5000.0,40.12
