srcNodeId,dstNodeId,bandwidth,latency
32,9,100.0,14.085408848478329
23,20,500.0,651.0331622572115
27,7,1000.0,483.6788969606155
26,8,1000.0,547.2588430453504
22,9,500.0,20.98675967365767
9,35,100.0,21.44962845004974
23,9,50.0,23.651289261039206
2,33,50.0,30.98789296395
3,7,500.0,91.10198639062016
2,20,100.0,641.2183786261884
31,21,1000.0,83.04717500849405
3,8,1000.0,78.7943611631211
4,37,1000.0,40.6628705309257
7,4,50.0,23.83
36,4,100.0,49.64989877409553
2,22,50.0,24.55427757604697
26,10,100.0,681.6930181669359
29,8,100.0,42.6813275544244
8,30,500.0,37.59
26,9,500.0,424.20525988915756
31,24,100.0,686.3165115837048
37,21,50.0,53.27045517683703
27,22,100.0,497.3846041811601
2,29,50.0,65.4250462810675
1,34,1000.0,14.59
3,4,100.0,74.03873780557502
8,6,1000.0,37.13
36,34,50.0,20.31390838183867
24,32,500.0,713.4091394935101
19,34,100.0,565.3582494921228
4,27,50.0,596.1879953124171
20,24,100.0,842.12
22,29,100.0,93.93255462525701
10,19,100.0,552.2215126863146
30,10,1000.0,25.11092877274863
10,2,1000.0,18.087711932566673
23,25,1000.0,1060.5327447240304
27,37,50.0,482.21069964274426
4,24,100.0,677.5145592054025
36,6,50.0,28.360598082292597
22,3,50.0,67.4445445438587
7,19,500.0,546.5517386556057
4,3,100.0,50.49804603533436
37,20,100.0,675.4308508122697
6,23,500.0,23.872117575015363
1,20,500.0,635.6239188540231
33,19,100.0,539.2070787216502
32,20,50.0,647.4532863764872
9,27,50.0,658.4599542562322
27,33,1000.0,650.5903523768729
7,27,50.0,690.6896510571653
8,2,1000.0,36.84
19,3,500.0,615.7206295608426
22,26,50.0,803.7961251951399
26,29,500.0,893.5303332615124
30,4,100.0,39.23
24,8,50.0,641.3239736221683
29,2,100.0,54.31629425562147
6,37,1000.0,35.45751974234832
34,6,50.0,15.04
3,31,50.0,57.196795322181394
3,2,500.0,48.51762561139097
37,3,50.0,82.66760827341156
27,25,100.0,605.68
8,32,100.0,13.562769129514372
36,20,100.0,657.877257242436
2,24,500.0,711.2150733337462
30,23,50.0,36.864016559437864
19,31,100.0,563.1753964342649
26,4,100.0,690.4547975911104
31,27,100.0,577.8422959270124
1,8,500.0,36.85
7,29,50.0,42.141747526165396
30,9,500.0,39.23
26,34,50.0,843.091956460215
6,27,500.0,561.7472393754279
6,26,500.0,591.4656774340217
1,22,50.0,30.198490622386867
19,24,500.0,742.27
8,7,100.0,13.5
10,3,100.0,61.6189258326291
3,26,500.0,484.7658866310592
6,31,1000.0,23.83
26,22,50.0,798.2570691751739
26,21,500.0,562.6185176256463
20,32,50.0,960.477474685719
29,30,1000.0,44.798025354989036
2,3,50.0,48.60767754148023
19,21,1000.0,623.5798350763993
26,30,50.0,516.1688808525739
4,7,1000.0,23.83
7,3,500.0,74.83603073470022
31,30,100.0,23.83
4,23,500.0,39.39933941231316
36,1,100.0,52.17918004340558
37,34,500.0,32.53143416414771
25,24,500.0,825.97
24,9,50.0,685.3375207505086
31,35,1000.0,20.49766423335478
8,31,1000.0,14.59
20,23,50.0,659.5533233573452
4,21,100.0,51.54771145814874
4,22,500.0,38.12993737071665
2,8,50.0,36.84
30,2,1000.0,38.69
29,34,50.0,93.85170450416317
25,10,1000.0,572.2920776565205
10,25,1000.0,562.405987317298
9,10,500.0,28.022981462609415
36,7,50.0,45.258053409900505
3,36,50.0,75.1718964572565
24,35,50.0,762.3321442558031
26,7,100.0,684.9304598815283
8,34,500.0,15.65
4,8,50.0,37.66
8,19,100.0,537.4471929290728
32,4,100.0,26.483571449635377
25,4,50.0,550.8307606009234
30,35,50.0,22.757540284400037
1,37,500.0,35.33406642230653
22,30,50.0,32.86482028689458
31,26,50.0,755.3872932912765
