srcNodeId,dstNodeId,cost,bandwidth,latency
1,17,2.5,20000.0,45.95
1,4,1.0,50000.0,28.67
1,21,2.5,20000.0,74.1
2,21,2.5,20000.0,53.39
2,8,2.5,20000.0,71.43
3,19,1.0,50000.0,12.56
3,4,10.0,5000.0,5.38
4,19,1.0,50000.0,17.32
4,27,2.5,20000.0,112.42
4,16,5.0,10000.0,82.27
5,6,5.0,10000.0,25.15
5,7,2.5,20000.0,18.56
5,8,1.0,50000.0,28.83
6,9,10.0,5000.0,7.71
7,24,5.0,10000.0,29.42
7,8,5.0,10000.0,20.92
9,10,5.0,10000.0,5.68
9,14,1.0,50000.0,9.04
9,15,10.0,5000.0,1.44
9,26,1.0,50000.0,38.92
11,26,2.5,20000.0,3.67
11,13,10.0,5000.0,5.55
12,26,1.0,50000.0,9.82
12,27,5.0,10000.0,20.41
14,24,10.0,5000.0,35.03
16,17,10.0,5000.0,18.14
18,27,1.0,50000.0,18.49
18,20,5.0,10000.0,35.95
20,21,1.0,50000.0,36.58
21,22,5.0,10000.0,31.04
22,23,5.0,10000.0,5.58
22,24,2.5,20000.0,2.74
23,24,10.0,5000.0,3.31
24,25,5.0,10000.0,24.13
25,26,5.0,10000.0,28.1
26,27,5.0,10000.0,11.95
17,1,2.5,20000.0,45.95
4,1,1.0,50000.0,28.67
21,1,2.5,20000.0,74.1
21,2,2.5,20000.0,53.39
8,2,2.5,20000.0,71.43
19,3,1.0,50000.0,12.56
4,3,10.0,5000.0,5.38
19,4,1.0,50000.0,17.32
27,4,2.5,20000.0,112.42
16,4,5.0,10000.0,82.27
6,5,5.0,10000.0,25.15
7,5,2.5,20000.0,18.56
8,5,1.0,50000.0,28.83
9,6,10.0,5000.0,7.71
24,7,5.0,10000.0,29.42
8,7,5.0,10000.0,20.92
10,9,5.0,10000.0,5.68
14,9,1.0,50000.0,9.04
15,9,10.0,5000.0,1.44
26,9,1.0,50000.0,38.92
26,11,2.5,20000.0,3.67
13,11,10.0,5000.0,5.55
26,12,1.0,50000.0,9.82
27,12,5.0,10000.0,20.41
24,14,10.0,5000.0,35.03
17,16,10.0,5000.0,18.14
27,18,1.0,50000.0,18.49
20,18,5.0,10000.0,35.95
21,20,1.0,50000.0,36.58
22,21,5.0,10000.0,31.04
23,22,5.0,10000.0,5.58
24,22,2.5,20000.0,2.74
24,23,10.0,5000.0,3.31
25,24,5.0,10000.0,24.13
26,25,5.0,10000.0,28.1
27,26,5.0,10000.0,11.95
