srcNodeId,dstNodeId,bandwidth,latency
4,22,50.0,142.52526634707962
2,26,500.0,180.48306193781926
12,24,1000.0,190.65
2,7,50.0,132.44
23,26,50.0,161.56
17,14,50.0,205.67981078627434
7,23,50.0,123.51
3,26,1000.0,145.9125332610037
16,19,100.0,132.88229150306577
6,2,100.0,139.44
26,20,100.0,233.05
18,24,100.0,185.48
3,18,100.0,141.81350422537346
18,26,500.0,172.23
16,12,1000.0,244.63248671031448
18,16,500.0,212.0717432019467
22,6,50.0,137.82
7,17,1000.0,277.70327434722776
24,19,500.0,214.85799567004227
9,14,500.0,233.06
2,17,50.0,265.75644397763375
23,5,50.0,132.07
18,2,1000.0,132.10551488854856
20,9,500.0,174.74
14,20,500.0,167.89
26,12,50.0,160.68
19,17,50.0,181.07735487595158
4,26,1000.0,181.42235559270716
20,12,500.0,135.23
23,3,500.0,162.78451819663226
4,5,100.0,238.04808955554824
3,17,50.0,80.44
14,16,100.0,252.54816536833192
20,3,500.0,168.9709873420633
23,20,1000.0,143.28
7,18,100.0,122.7
22,21,50.0,86.68
12,27,500.0,160.68
21,19,1000.0,236.26602459836738
20,23,100.0,143.28
5,3,100.0,266.67074381798244
27,14,50.0,125.29
23,6,1000.0,140.21
12,3,100.0,142.93356642835943
16,9,1000.0,225.65726563488064
8,17,500.0,217.8099359286012
24,6,500.0,212.66
27,24,100.0,235.64
1,5,50.0,222.46297062288673
7,4,1000.0,178.02414449680907
4,6,50.0,219.7959125879933
6,23,100.0,140.21
8,22,50.0,151.33
14,27,500.0,125.29
23,27,1000.0,166.13
6,16,100.0,290.5289221959799
5,1,500.0,168.59019110837556
22,3,100.0,147.04360574686305
19,25,50.0,310.2527963358493
21,6,50.0,181.55
4,20,500.0,241.44319389654976
2,16,100.0,200.35806361955235
27,9,500.0,135.32
3,8,50.0,237.4051404120428
25,1,1000.0,134.53516731759325
25,6,50.0,105.37
3,7,50.0,188.8019015866619
7,1,500.0,180.94365694774538
2,9,100.0,146.59
21,7,100.0,153.26
20,24,1000.0,147.65
27,26,500.0,160.68
8,5,1000.0,205.43
14,9,500.0,233.06
14,25,500.0,113.5
