srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,5.0,10000.0,77.68
1,4,10.0,10000.0,18.7
2,3,2.5,30000.0,47.42
3,8,2.5,20000.0,150.79
3,11,1.0,50000.0,25.48
3,4,10.0,5000.0,57.54
3,10,2.5,20000.0,44.37
4,17,10.0,5000.0,32.74
4,8,10.0,5000.0,96.32
4,16,5.0,10000.0,36.92
5,9,5.0,30000.0,12.34
5,10,5.0,10000.0,28.3
5,6,10.0,5000.0,12.21
5,17,10.0,5000.0,90.9
6,9,1.0,70000.0,1.15
7,13,2.5,20000.0,28.1
7,8,5.0,30000.0,4.34
8,13,10.0,10000.0,31.14
9,10,10.0,15000.0,16.57
9,15,2.5,20000.0,130.37
9,17,5.0,10000.0,79.9
9,19,10.0,15000.0,32.18
10,17,2.5,20000.0,66.55
10,11,5.0,10000.0,20.14
12,13,5.0,20000.0,54.91
12,15,5.0,10000.0,82.5
13,14,10.0,55000.0,6.64
13,15,5.0,60000.0,76.73
15,17,1.0,50000.0,58.88
15,16,2.5,20000.0,45.78
16,17,10.0,5000.0,16.44
17,18,1.0,70000.0,31.76
18,19,1.0,50000.0,26.42
2,1,5.0,10000.0,77.68
4,1,10.0,5000.0,18.7
3,2,5.0,10000.0,47.57
8,3,2.5,20000.0,150.79
11,3,1.0,50000.0,25.48
4,3,10.0,5000.0,57.54
10,3,2.5,20000.0,44.37
17,4,10.0,5000.0,32.74
8,4,10.0,5000.0,96.32
16,4,5.0,10000.0,36.92
9,5,2.5,20000.0,12.19
10,5,5.0,10000.0,28.3
6,5,10.0,5000.0,12.21
17,5,10.0,5000.0,90.9
9,6,2.5,20000.0,1.24
13,7,2.5,20000.0,28.1
8,7,2.5,20000.0,4.19
13,8,10.0,5000.0,31.14
10,9,5.0,10000.0,16.27
15,9,2.5,20000.0,130.37
17,9,5.0,10000.0,79.9
19,9,5.0,10000.0,31.88
17,10,2.5,20000.0,66.55
11,10,5.0,10000.0,20.14
13,12,5.0,10000.0,54.91
15,12,5.0,10000.0,82.5
14,13,1.0,50000.0,6.1
15,13,1.0,50000.0,76.49
17,15,1.0,50000.0,58.88
16,15,2.5,20000.0,45.78
17,16,10.0,5000.0,16.44
18,17,2.5,20000.0,31.85
19,18,1.0,50000.0,26.42
