srcNodeId,dstNodeId,bandwidth,latency
9,16,100.0,105.53718278372244
1,15,500.0,186.0413386229881
5,1,50.0,182.24228285737289
16,6,50.0,133.40188376232706
13,12,1000.0,116.62
16,11,50.0,173.69019891803524
10,18,50.0,121.28
13,17,500.0,269.1986042644817
13,4,100.0,156.4058448048996
9,10,50.0,93.9
19,13,50.0,332.4869189830733
7,19,1000.0,221.42972143178002
18,13,50.0,200.46471407002494
15,3,100.0,142.4289042564854
5,17,500.0,114.8
17,6,50.0,82.64
12,8,100.0,108.03
8,6,100.0,211.17062939928786
4,6,100.0,170.65129726373004
13,11,100.0,208.29283028681607
16,4,1000.0,41.72
19,1,1000.0,149.42613165339088
1,8,50.0,115.1
13,19,1000.0,376.9942255074214
2,10,500.0,109.64350351409522
10,17,50.0,192.32
6,19,100.0,88.72
5,18,500.0,109.35
9,6,100.0,96.66
3,4,500.0,92.28401870323583
9,3,50.0,266.7433430684418
8,5,50.0,220.23105997473513
17,9,1000.0,109.38
9,13,100.0,364.81506628525244
4,5,100.0,179.35285077607915
19,6,1000.0,88.72
17,4,1000.0,63.38
5,2,1000.0,162.41419167108134
4,19,1000.0,120.5330300635397
15,12,1000.0,116.62
5,11,500.0,85.7471823305467
12,17,500.0,220.62533499149097
8,7,1000.0,80.73
1,3,1000.0,110.22682765555146
7,3,1000.0,236.37374540677143
16,12,500.0,231.3845059848886
16,17,500.0,27.14
7,16,100.0,138.00624409761414
10,6,500.0,69.35
6,18,500.0,89.97
13,3,500.0,183.15785622486115
8,13,500.0,80.73
1,5,1000.0,188.19355731936065
10,16,1000.0,171.12231648208774
13,7,500.0,80.73
8,17,500.0,164.30450303317065
8,12,100.0,108.03
11,5,100.0,56.60962040750771
13,18,1000.0,228.40578258780857
15,2,500.0,206.12552027052928
11,9,50.0,52.38
7,12,100.0,105.86
18,7,1000.0,165.74285639638367
12,13,100.0,116.62
5,8,500.0,222.11715962334668
7,4,500.0,118.44
19,16,100.0,149.92489408292664
15,18,50.0,121.68640490624072
15,4,50.0,106.27679585511608
2,7,1000.0,199.50395188286674
