srcNodeId,dstNodeId,cost,bandwidth,latency
1,4,1.0,50000.0,1.55
1,6,5.0,10000.0,6.2
1,22,1.0,50000.0,2.44
2,15,2.5,20000.0,251.3
2,7,2.5,20000.0,3.97
2,8,5.0,10000.0,3.67
3,4,1.0,50000.0,1.88
3,31,10.0,5000.0,3.1
5,6,2.5,20000.0,2.66
5,7,10.0,5000.0,3.75
6,33,2.5,20000.0,3.36
7,9,2.5,20000.0,1.51
7,8,2.5,20000.0,3.99
8,33,5.0,10000.0,7.46
8,10,5.0,10000.0,6.77
10,11,1.0,50000.0,3.04
10,12,5.0,10000.0,4.89
11,27,5.0,10000.0,3.28
11,26,2.5,20000.0,5.91
12,28,5.0,10000.0,4.89
12,26,5.0,10000.0,3.91
13,25,2.5,20000.0,3.04
13,28,10.0,5000.0,3.48
13,29,10.0,5000.0,5.68
13,24,2.5,20000.0,1.52
14,29,1.0,50000.0,67.18
16,17,2.5,20000.0,5.59
17,18,10.0,5000.0,4.64
17,19,5.0,10000.0,5.49
17,20,10.0,5000.0,150.53
17,23,5.0,10000.0,2.32
18,19,5.0,10000.0,2.29
19,30,1.0,50000.0,4.0
19,31,10.0,5000.0,5.31
21,22,2.5,20000.0,1.87
21,23,5.0,10000.0,3.65
24,33,1.0,50000.0,2.47
25,32,10.0,5000.0,2.63
29,30,5.0,10000.0,5.38
31,32,1.0,50000.0,1.44
32,33,2.5,20000.0,2.55
4,1,1.0,50000.0,1.55
6,1,5.0,10000.0,6.2
22,1,1.0,50000.0,2.44
15,2,2.5,20000.0,251.3
7,2,2.5,20000.0,3.97
8,2,5.0,10000.0,3.67
4,3,1.0,50000.0,1.88
31,3,10.0,5000.0,3.1
6,5,2.5,20000.0,2.66
7,5,10.0,5000.0,3.75
33,6,2.5,20000.0,3.36
9,7,2.5,20000.0,1.51
8,7,2.5,20000.0,3.99
33,8,5.0,10000.0,7.46
10,8,5.0,10000.0,6.77
11,10,1.0,50000.0,3.04
12,10,5.0,10000.0,4.89
27,11,5.0,10000.0,3.28
26,11,2.5,20000.0,5.91
28,12,5.0,10000.0,4.89
26,12,5.0,10000.0,3.91
25,13,2.5,20000.0,3.04
28,13,10.0,5000.0,3.48
29,13,10.0,5000.0,5.68
24,13,2.5,20000.0,1.52
29,14,1.0,50000.0,67.18
17,16,2.5,20000.0,5.59
18,17,10.0,5000.0,4.64
19,17,5.0,10000.0,5.49
20,17,10.0,5000.0,150.53
23,17,5.0,10000.0,2.32
19,18,5.0,10000.0,2.29
30,19,1.0,50000.0,4.0
31,19,10.0,5000.0,5.31
22,21,2.5,20000.0,1.87
23,21,5.0,10000.0,3.65
33,24,1.0,50000.0,2.47
32,25,10.0,5000.0,2.63
30,29,5.0,10000.0,5.38
32,31,1.0,50000.0,1.44
33,32,2.5,20000.0,2.55
