srcNodeId,dstNodeId,bandwidth,latency
5,21,500.0,572.6406472216189
5,44,1000.0,696.6673415186025
7,46,1000.0,501.26545116356635
5,6,50.0,381.86
9,25,50.0,811.53
30,37,100.0,565.3287008618057
10,47,100.0,820.8328088116182
25,39,1000.0,578.3437830634879
31,9,100.0,737.5702564962837
37,3,100.0,1054.6399870759808
3,2,500.0,86.72
5,38,500.0,456.7573924320527
37,46,100.0,1495.884753975918
5,30,100.0,652.5478471999091
43,6,1000.0,1078.2195058163486
4,21,50.0,655.6093342934873
10,8,500.0,248.02
4,3,500.0,128.04
46,39,500.0,235.87826100238777
43,1,50.0,870.8954466607059
44,43,500.0,656.3545792250587
7,31,50.0,534.8261353240008
25,7,500.0,369.09
44,46,50.0,80.31
41,4,1000.0,823.3393220680452
4,25,500.0,340.5316267959054
32,47,500.0,609.294981447601
5,41,50.0,592.9492823708631
32,44,100.0,587.8517599737436
47,39,1000.0,175.17
9,38,1000.0,759.4538610491104
25,32,1000.0,487.39084682818196
7,43,50.0,908.9243914054421
31,25,1000.0,795.8079378610585
4,39,50.0,225.46919664990043
36,44,100.0,857.5835765187851
32,41,1000.0,595.19
2,41,50.0,903.451080661068
21,8,100.0,1147.5018740900464
38,5,50.0,452.86416640407396
3,46,1000.0,302.9915286794894
32,37,50.0,673.99
3,44,1000.0,222.41607791559971
9,2,1000.0,584.6350247583111
44,39,500.0,141.8
43,30,100.0,551.3801092725095
6,21,1000.0,545.0331110377456
36,25,50.0,1073.2733261256747
5,31,50.0,530.3384120339982
36,46,500.0,1060.2816229749233
5,47,50.0,391.3798414154297
45,32,50.0,890.7849265269082
39,6,500.0,485.93112633877894
45,44,500.0,86.98
47,10,100.0,439.8668418882726
37,1,50.0,1963.4504655295877
8,36,1000.0,700.0102744234921
4,46,50.0,297.63455358450835
2,9,50.0,552.4096251443491
37,30,500.0,658.4424904813984
9,46,500.0,692.036486902806
41,36,50.0,779.99
8,3,1000.0,492.56300134911976
31,41,50.0,461.9065567289059
43,45,100.0,786.1091059690186
44,30,50.0,594.4175059423495
7,41,100.0,567.8616943862547
47,7,500.0,569.5217000779829
2,5,50.0,425.32358815369895
30,41,500.0,719.25
30,4,1000.0,723.6466719681645
21,31,500.0,297.28
41,8,500.0,620.9892339564371
9,37,50.0,1229.6238057715277
39,47,500.0,175.17
37,2,50.0,1797.466804112403
10,30,100.0,618.3754629883408
1,39,1000.0,128.78
8,25,1000.0,248.02
2,7,1000.0,713.3914819947945
37,6,500.0,1054.409264930117
10,5,1000.0,407.18
41,37,1000.0,769.93
46,5,1000.0,539.3096055740416
25,38,1000.0,396.039217808223
39,43,500.0,767.9629030427167
31,44,50.0,645.813164341503
39,25,1000.0,461.94980165707557
30,46,50.0,528.8387930360567
30,31,500.0,331.48
36,10,50.0,716.7639053188034
10,39,50.0,915.794849689089
7,8,50.0,354.87
10,37,100.0,1422.5072037599036
45,36,500.0,591.848697244112
39,1,1000.0,128.78
41,32,100.0,595.19
9,30,1000.0,674.1320134782924
30,38,100.0,678.8925747923283
30,10,100.0,753.745240325051
6,45,1000.0,691.8358447573668
4,32,1000.0,613.4920568568242
7,10,1000.0,233.85
32,1,100.0,601.2928213431918
32,38,50.0,1023.5233572935838
1,3,500.0,142.13
45,1,500.0,237.69
44,4,50.0,209.31
41,47,500.0,803.4699877390627
38,30,500.0,705.2593551423786
36,2,50.0,999.1901668346488
7,4,1000.0,349.7286139435624
41,10,500.0,1038.188694010553
2,47,100.0,180.96
6,36,500.0,674.4016953659062
36,43,1000.0,910.7051980297811
6,9,500.0,224.6
32,4,500.0,617.0729620047031
36,5,1000.0,853.6249619500167
2,6,50.0,402.6607642048891
8,46,1000.0,1066.7573848491184
10,44,500.0,851.7970874254836
36,47,1000.0,709.3680898232635
37,32,100.0,673.99
43,21,1000.0,721.7225903191202
32,9,100.0,577.6641351269445
6,8,50.0,354.87
38,21,1000.0,595.1823000692444
43,25,1000.0,1237.7783315591962
46,45,1000.0,288.06740389834835
9,47,500.0,780.3976732818078
8,30,500.0,876.4314872281092
2,1,500.0,99.57
5,45,500.0,530.4741640085175
46,30,50.0,904.0204434840334
4,43,50.0,906.8339927754128
43,32,500.0,798.677952425305
4,2,1000.0,167.27
25,30,1000.0,1123.965633011743
41,44,50.0,683.5943035686792
32,39,50.0,841.9648382870987
4,10,500.0,319.54680917176904
10,46,50.0,813.5064822457578
45,46,500.0,370.361554638671
37,47,1000.0,993.1323835094694
32,25,500.0,892.8465136807772
2,4,1000.0,167.27
47,32,1000.0,575.6371142450029
38,46,100.0,197.65218947182052
5,8,50.0,844.22
46,47,1000.0,151.64
47,37,100.0,1012.0150015472036
36,45,1000.0,784.4124998019482
46,32,1000.0,494.530181013539
47,4,500.0,103.72
21,43,100.0,449.9567677671697
46,21,500.0,865.6051525130588
31,4,100.0,586.6221130736287
31,47,50.0,571.7105677554493
4,37,500.0,1036.7637001210855
38,44,1000.0,161.33
41,38,1000.0,800.5054901336423
45,47,50.0,191.98005181326226
47,31,500.0,621.1244530617063
9,8,1000.0,879.6
10,25,100.0,248.02
31,7,1000.0,746.6775868283213
46,6,100.0,511.92650419905846
