srcNodeId,dstNodeId,bandwidth,latency
11,2,1000.0,23.59
20,4,1000.0,18.93
10,20,500.0,20.847091589956214
20,2,500.0,24.55
4,20,1000.0,18.93
20,3,1000.0,20.75
2,11,100.0,23.59
2,20,1000.0,24.55
11,1,100.0,15.4895487712953
11,8,100.0,21.010378830991936
10,11,50.0,26.98421462474051
11,3,1000.0,13.359193060268229
1,11,500.0,15.939817470481323
3,20,100.0,20.75
20,9,100.0,23.344844766323106
20,5,100.0,16.657411280981126
1,20,1000.0,17.33
7,20,500.0,14.25
3,11,100.0,12.603881222958805
5,11,50.0,23.18509024760525
6,20,50.0,24.803066099083907
11,4,50.0,14.253732335266747
5,20,50.0,16.531902610839367
