srcNodeId,dstNodeId,bandwidth,latency
7,11,1000.0,647.0033898719591
5,20,50.0,806.5232655930622
12,11,100.0,406.72
1,6,100.0,593.4760386959597
12,17,100.0,791.5362782346579
2,14,50.0,567.2758262174767
6,18,100.0,753.8037011825195
1,11,100.0,244.49
5,1,500.0,566.1751877530604
7,1,500.0,372.3739609925177
2,17,100.0,729.8624416835482
8,13,100.0,380.59894335823213
1,2,500.0,394.79400021733255
5,12,1000.0,630.0853065953995
15,11,50.0,384.75
10,4,1000.0,635.05464842471
3,15,1000.0,328.63
16,18,50.0,484.75
10,16,100.0,771.79
3,14,1000.0,769.5419146779482
17,5,50.0,594.0060432327035
18,3,500.0,414.69
9,11,100.0,776.0161814928911
10,2,1000.0,675.0285220102623
2,12,50.0,252.1972335494026
3,10,1000.0,765.9567735714656
7,9,500.0,698.9812120430702
14,20,1000.0,564.9961779376627
17,9,100.0,804.97
12,20,50.0,393.02
4,18,100.0,738.41551672313
13,17,1000.0,763.61
6,16,50.0,729.8610679654516
8,12,100.0,440.0265466361624
14,12,50.0,784.9139926925075
3,9,1000.0,615.5339771062611
18,9,50.0,401.66
14,13,100.0,748.69
2,5,100.0,849.0962918616658
4,10,50.0,754.9351113664137
10,17,1000.0,815.66
11,7,100.0,637.8558352160941
9,5,50.0,615.0169194834355
7,16,1000.0,452.7313161540495
1,10,100.0,697.0971461645364
1,7,1000.0,396.75231722343676
13,16,50.0,588.79
20,2,500.0,616.0630289264197
12,13,50.0,631.0256781488204
7,8,100.0,128.8
8,10,500.0,831.8315193514295
13,15,100.0,595.63
20,6,1000.0,964.4663176140534
12,16,500.0,417.1670483958666
11,1,100.0,244.49
16,15,1000.0,796.63
9,6,50.0,637.3156301607039
16,12,50.0,668.7850095244726
14,3,500.0,483.31987140917806
7,3,50.0,552.3095289658713
3,5,100.0,1210.7017333546942
9,3,1000.0,750.6203062842711
18,4,50.0,894.8534189738978
4,6,1000.0,596.8443652580876
14,1,100.0,566.0029192506058
5,14,50.0,458.548636574025
17,7,100.0,473.7683905421685
15,1,100.0,434.91591696870046
18,17,50.0,621.81
12,7,500.0,455.8816140152882
20,17,100.0,437.63
2,15,50.0,516.5005168206915
9,14,100.0,748.69
8,18,500.0,1025.9166096097347
2,8,500.0,269.29234266550674
17,8,50.0,470.34097771285144
16,7,100.0,509.65930212918835
9,16,1000.0,747.81
17,4,100.0,776.6766208271107
13,7,100.0,559.7840229643612
10,5,50.0,628.8788314704017
9,4,100.0,782.7306604253463
