srcNodeId,dstNodeId,cost,bandwidth,latency
1,12,10.0,5000.0,114.72
1,4,5.0,10000.0,3.33
2,3,10.0,5000.0,166.27
2,7,2.5,20000.0,255.82
3,11,1.0,50000.0,36.36
3,12,10.0,5000.0,6.67
3,15,10.0,5000.0,270.7
4,8,2.5,20000.0,354.26
5,14,10.0,5000.0,421.84
5,7,2.5,20000.0,199.76
5,6,1.0,50000.0,29.72
6,8,5.0,10000.0,209.58
7,14,2.5,20000.0,312.15
7,15,2.5,20000.0,308.23
7,8,5.0,10000.0,3.33
9,17,5.0,10000.0,39.64
9,13,2.5,20000.0,80.14
9,16,1.0,50000.0,61.77
10,17,1.0,50000.0,66.57
10,15,2.5,20000.0,124.87
10,16,10.0,5000.0,6.67
11,20,5.0,10000.0,139.83
13,14,1.0,50000.0,56.11
14,17,5.0,10000.0,147.88
14,15,5.0,10000.0,129.03
15,16,5.0,10000.0,126.53
15,18,5.0,10000.0,238.46
16,17,5.0,10000.0,69.23
17,18,10.0,5000.0,135.1
18,19,10.0,5000.0,84.9
18,20,5.0,10000.0,198.24
12,1,10.0,5000.0,114.72
4,1,5.0,10000.0,3.33
3,2,10.0,5000.0,166.27
7,2,2.5,20000.0,255.82
11,3,1.0,50000.0,36.36
12,3,10.0,5000.0,6.67
15,3,10.0,5000.0,270.7
8,4,2.5,20000.0,354.26
14,5,10.0,5000.0,421.84
7,5,2.5,20000.0,199.76
6,5,1.0,50000.0,29.72
8,6,5.0,10000.0,209.58
14,7,2.5,20000.0,312.15
15,7,2.5,20000.0,308.23
8,7,5.0,10000.0,3.33
17,9,5.0,10000.0,39.64
13,9,2.5,20000.0,80.14
16,9,1.0,50000.0,61.77
17,10,1.0,50000.0,66.57
15,10,2.5,20000.0,124.87
16,10,10.0,5000.0,6.67
20,11,5.0,10000.0,139.83
14,13,1.0,50000.0,56.11
17,14,5.0,10000.0,147.88
15,14,5.0,10000.0,129.03
16,15,5.0,10000.0,126.53
18,15,5.0,10000.0,238.46
17,16,5.0,10000.0,69.23
18,17,10.0,5000.0,135.1
19,18,10.0,5000.0,84.9
20,18,5.0,10000.0,198.24
