srcNodeId,dstNodeId,bandwidth,latency
14,3,50.0,151.62532751904206
2,8,50.0,50.44046241167588
5,3,50.0,56.118874390834925
1,3,100.0,22.51
19,6,1000.0,38.2967478524595
12,10,50.0,49.945584081132296
4,17,50.0,36.76
9,1,500.0,81.08050868334323
11,2,100.0,45.66397586437607
15,10,1000.0,145.0935558521684
19,13,1000.0,39.443384510356346
15,12,500.0,136.620555819161
10,14,1000.0,165.11170261996628
11,1,100.0,26.261604981999035
15,19,500.0,178.1729233646838
5,4,500.0,47.35660146279475
17,13,500.0,21.37
16,3,100.0,31.38501268272775
13,19,50.0,54.66685003585698
6,15,1000.0,113.22652289623271
7,3,50.0,26.330010100307575
3,16,500.0,58.02689312020267
11,10,1000.0,43.03
3,8,500.0,48.58992288867951
6,4,1000.0,35.35095224158465
16,9,500.0,52.3173187139844
12,1,500.0,47.86242880619248
9,8,100.0,46.02671527219413
2,5,50.0,50.72455185118571
8,2,500.0,40.494729111019964
3,1,50.0,22.51
7,8,100.0,21.93
7,13,500.0,43.01130272691255
7,1,500.0,28.13
16,19,100.0,19.08
13,16,50.0,21.37
6,3,50.0,58.795276643557216
6,7,50.0,60.24509882653536
10,9,50.0,96.84571332844496
11,17,50.0,31.416837942075293
6,11,100.0,47.95794011298538
14,2,50.0,169.45729741151763
13,17,1000.0,21.37
17,15,1000.0,118.66807241297798
14,12,100.0,137.56820338929197
12,5,50.0,55.589108354666166
17,1,500.0,36.21
5,17,1000.0,55.275370964718185
5,19,1000.0,42.846692316564706
2,15,1000.0,113.75004438734051
1,17,1000.0,36.21
2,17,1000.0,27.61
13,3,100.0,61.79724966527003
5,6,50.0,25.107644920370262
8,7,500.0,21.93
3,6,50.0,61.57883303929127
3,7,500.0,27.728037494890028
4,5,1000.0,89.70193056851517
1,10,500.0,43.332727832532456
12,15,100.0,163.4893977371377
7,14,50.0,190.18424710460874
10,11,500.0,43.03
13,2,1000.0,76.46926741620968
11,6,100.0,50.18816363980027
4,7,100.0,28.13
8,3,1000.0,53.78370063605932
17,19,50.0,33.67
8,15,1000.0,121.72973781073628
2,6,1000.0,40.44031902330963
12,7,100.0,46.42817937607363
19,16,50.0,19.08
16,11,50.0,42.043057357382295
10,16,1000.0,40.07360067540286
3,5,50.0,94.75401049821622
4,8,500.0,40.186903337199546
2,10,100.0,58.15373062815259
17,2,100.0,27.61
8,11,100.0,69.07560070314666
4,14,50.0,108.1827201796792
9,4,500.0,66.25161835619897
7,16,500.0,39.97117298990679
9,14,500.0,112.91532634173088
11,9,100.0,57.673286378916124
12,8,100.0,57.63773985345111
12,17,50.0,29.56672797556293
8,10,1000.0,58.142523581212814
11,7,50.0,38.39726059675659
9,11,100.0,59.949975737400194
5,10,50.0,98.30134110201365
6,1,50.0,46.71101838199976
1,9,100.0,73.75859381391876
3,10,1000.0,43.03
13,5,500.0,49.00332451888462
3,2,50.0,41.849408427716554
7,5,100.0,43.86837533469274
4,16,1000.0,44.3389430481662
7,4,50.0,28.13
1,16,500.0,49.14990174643269
13,10,500.0,80.93335600432232
4,2,1000.0,29.7
4,13,100.0,46.0411000510127
17,14,1000.0,93.94075214263195
8,1,100.0,35.30696361863046
12,19,1000.0,39.670701232109586
9,15,100.0,103.30349501939699
7,9,50.0,53.54105994973996
3,17,500.0,40.97
