srcNodeId,dstNodeId,cost,bandwidth,latency
1,4,1.0,50000.0,5.3
1,7,10.0,5000.0,13.85
2,19,5.0,10000.0,13.75
2,7,2.5,20000.0,9.58
3,11,2.5,20000.0,9.95
3,4,1.0,50000.0,5.67
4,10,5.0,10000.0,26.99
4,17,1.0,50000.0,15.55
5,6,2.5,20000.0,14.69
5,8,10.0,10000.0,16.98
6,9,1.0,50000.0,9.52
6,13,10.0,5000.0,33.77
6,17,1.0,50000.0,15.82
6,8,2.5,20000.0,16.81
7,17,5.0,10000.0,17.06
7,8,5.0,10000.0,16.09
8,17,10.0,5000.0,31.94
9,13,10.0,5000.0,28.41
10,17,2.5,20000.0,26.04
10,11,1.0,50000.0,11.97
10,19,5.0,10000.0,20.54
12,17,10.0,5000.0,23.06
12,13,1.0,50000.0,10.06
13,14,1.0,50000.0,68.4
13,16,10.0,5000.0,19.33
13,17,1.0,50000.0,20.23
14,15,1.0,50000.0,5.57
15,17,2.5,20000.0,89.45
16,17,1.0,50000.0,8.68
17,18,10.0,5000.0,6.67
17,19,2.5,20000.0,9.73
4,1,1.0,50000.0,5.3
7,1,10.0,5000.0,13.85
19,2,5.0,10000.0,13.75
7,2,2.5,20000.0,9.58
11,3,2.5,20000.0,9.95
4,3,1.0,50000.0,5.67
10,4,5.0,10000.0,26.99
17,4,1.0,50000.0,15.55
6,5,2.5,20000.0,14.69
8,5,10.0,5000.0,16.98
9,6,1.0,50000.0,9.52
13,6,10.0,5000.0,33.77
17,6,1.0,50000.0,15.82
8,6,2.5,20000.0,16.81
17,7,5.0,10000.0,17.06
8,7,5.0,10000.0,16.09
17,8,10.0,5000.0,31.94
13,9,10.0,5000.0,28.41
17,10,2.5,20000.0,26.04
11,10,1.0,50000.0,11.97
19,10,5.0,10000.0,20.54
17,12,10.0,5000.0,23.06
13,12,1.0,50000.0,10.06
14,13,1.0,50000.0,68.4
16,13,10.0,5000.0,19.33
17,13,1.0,50000.0,20.23
15,14,1.0,50000.0,5.57
17,15,2.5,20000.0,89.45
17,16,1.0,50000.0,8.68
18,17,10.0,5000.0,6.67
19,17,2.5,20000.0,9.73
