srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,5.0,10000.0,1.53
1,7,5.0,10000.0,1.77
2,4,5.0,10000.0,2.03
2,7,5.0,10000.0,1.0
3,4,1.0,50000.0,0.86
3,21,5.0,10000.0,2.82
3,7,10.0,5000.0,2.33
3,16,5.0,10000.0,1.05
4,26,5.0,10000.0,2.12
5,15,10.0,5000.0,1.67
6,15,2.5,20000.0,1.22
8,17,5.0,10000.0,285.48
8,22,10.0,5000.0,1.66
9,25,10.0,5000.0,1.89
9,10,2.5,20000.0,6.28
9,24,1.0,50000.0,141.13
10,14,1.0,50000.0,7.88
11,18,1.0,50000.0,1.77
11,12,2.5,20000.0,1.75
12,13,2.5,20000.0,2.37
13,14,2.5,20000.0,3.58
15,25,5.0,10000.0,1.59
15,21,5.0,10000.0,2.82
16,20,5.0,10000.0,1.05
16,21,1.0,50000.0,2.31
16,22,10.0,5000.0,1.66
17,23,1.0,50000.0,144.38
17,24,10.0,5000.0,143.71
19,20,1.0,50000.0,2.13
19,28,1.0,50000.0,2.33
21,23,2.5,20000.0,142.44
23,25,2.5,20000.0,141.18
24,25,5.0,10000.0,142.62
26,27,1.0,50000.0,0.58
27,28,2.5,20000.0,0.75
2,1,5.0,10000.0,1.53
7,1,5.0,10000.0,1.77
4,2,5.0,10000.0,2.03
7,2,5.0,10000.0,1.0
4,3,1.0,50000.0,0.86
21,3,5.0,10000.0,2.82
7,3,10.0,5000.0,2.33
16,3,5.0,10000.0,1.05
26,4,5.0,10000.0,2.12
15,5,10.0,5000.0,1.67
15,6,2.5,20000.0,1.22
17,8,5.0,10000.0,285.48
22,8,10.0,5000.0,1.66
25,9,10.0,5000.0,1.89
10,9,2.5,20000.0,6.28
24,9,1.0,50000.0,141.13
14,10,1.0,50000.0,7.88
18,11,1.0,50000.0,1.77
12,11,2.5,20000.0,1.75
13,12,2.5,20000.0,2.37
14,13,2.5,20000.0,3.58
25,15,5.0,10000.0,1.59
21,15,5.0,10000.0,2.82
20,16,5.0,10000.0,1.05
21,16,1.0,50000.0,2.31
22,16,10.0,5000.0,1.66
23,17,1.0,50000.0,144.38
24,17,10.0,5000.0,143.71
20,19,1.0,50000.0,2.13
28,19,1.0,50000.0,2.33
23,21,2.5,20000.0,142.44
25,23,2.5,20000.0,141.18
25,24,5.0,10000.0,142.62
27,26,1.0,50000.0,0.58
28,27,2.5,20000.0,0.75
