srcNodeId,dstNodeId,cost,bandwidth,latency
1,3,2.5,20000.0,6.68
1,5,2.5,20000.0,72.98
1,8,1.0,50000.0,44.9
2,11,1.0,50000.0,43.67
2,7,10.0,5000.0,61.1
4,9,2.5,20000.0,139.95
4,5,10.0,5000.0,54.36
5,6,5.0,10000.0,27.78
5,9,1.0,50000.0,144.57
5,10,10.0,5000.0,202.54
5,11,2.5,20000.0,191.51
6,7,5.0,10000.0,96.26
7,11,10.0,5000.0,98.19
7,8,10.0,5000.0,38.06
8,9,5.0,10000.0,33.54
8,11,10.0,5000.0,76.68
9,10,10.0,5000.0,58.04
10,11,2.5,20000.0,16.59
3,1,2.5,20000.0,6.68
5,1,2.5,20000.0,72.98
8,1,1.0,50000.0,44.9
11,2,1.0,50000.0,43.67
7,2,10.0,5000.0,61.1
9,4,2.5,20000.0,139.95
5,4,10.0,5000.0,54.36
6,5,5.0,10000.0,27.78
9,5,1.0,50000.0,144.57
10,5,10.0,5000.0,202.54
11,5,2.5,20000.0,191.51
7,6,5.0,10000.0,96.26
11,7,10.0,5000.0,98.19
8,7,10.0,5000.0,38.06
9,8,5.0,10000.0,33.54
11,8,10.0,5000.0,76.68
10,9,10.0,5000.0,58.04
11,10,2.5,20000.0,16.59
