srcNodeId,dstNodeId,bandwidth,latency
1,9,1000.0,165.66
2,9,50.0,360.429673426554
2,8,500.0,113.07
10,7,100.0,165.66
7,4,500.0,231.78181424479442
2,6,1000.0,242.37865682118525
4,6,100.0,167.37386535514784
6,10,1000.0,284.58
9,6,50.0,246.99
7,10,50.0,165.66
6,8,1000.0,248.75
10,2,1000.0,92.13
6,2,500.0,180.64763189119128
11,4,500.0,227.04
8,4,50.0,211.8
9,1,1000.0,165.66
10,4,50.0,221.88
1,7,500.0,102.14
1,2,500.0,274.02897193432045
2,10,500.0,92.13
8,6,50.0,248.75
2,1,100.0,284.81188420986115
4,1,500.0,351.7305343024252
10,1,500.0,149.96
10,6,100.0,284.58
6,1,50.0,126.34
1,6,1000.0,126.34
1,10,50.0,149.96
6,4,50.0,133.23576670575616
4,2,100.0,388.7357696010549
9,7,50.0,160.09
1,4,1000.0,173.69128566004167
7,1,50.0,102.14
2,4,100.0,250.62531061443258
4,8,50.0,211.8
8,2,100.0,113.07
9,2,1000.0,295.0515313681596
6,9,1000.0,246.99
4,11,100.0,227.04
7,9,1000.0,160.09
4,7,1000.0,203.09319807961742
4,10,500.0,221.88
