srcNodeId,dstNodeId,bandwidth,latency
13,5,500.0,232.57725840718916
22,23,50.0,188.14
8,2,500.0,58.47
24,18,100.0,212.115933565081
13,7,500.0,239.2239179814716
1,18,50.0,167.0027834972746
5,13,50.0,248.53275962323787
3,16,500.0,110.83
2,4,50.0,228.60209860427952
3,9,50.0,268.2673516615813
3,10,50.0,931.8153588014708
4,8,1000.0,279.62646992903456
21,4,50.0,181.59
3,13,1000.0,162.75
5,19,1000.0,78.63
9,7,50.0,120.64
1,13,500.0,202.63175661935426
19,3,1000.0,259.573830415536
18,21,50.0,224.08586022399066
7,1,1000.0,183.97175990638502
17,9,100.0,177.50717908775022
23,4,500.0,149.65
24,8,50.0,159.5010241734615
17,5,500.0,156.34426880834198
18,16,1000.0,211.7566513259775
22,3,500.0,117.27
6,16,50.0,483.22819270838505
20,17,50.0,149.8975762606174
9,19,1000.0,62.89
16,18,100.0,296.98341388445976
24,22,1000.0,133.55
13,8,100.0,231.73235162325813
13,3,500.0,162.75
5,18,50.0,66.22
17,8,1000.0,114.42595205798953
21,19,500.0,340.1751284521548
20,21,1000.0,162.75
10,21,100.0,947.5432625065808
7,20,50.0,189.01377720300235
12,24,50.0,137.03
3,24,500.0,84.39
18,10,500.0,1372.8609516721535
22,13,50.0,144.15
