srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,2.5,20000.0,50.43
1,20,2.5,20000.0,75.62
2,19,2.5,20000.0,20.08
3,20,5.0,10000.0,16.49
3,13,2.5,20000.0,15.22
4,16,10.0,5000.0,26.21
4,23,2.5,20000.0,18.97
4,24,2.5,20000.0,51.35
5,19,10.0,5000.0,35.44
5,8,5.0,10000.0,27.41
5,24,10.0,5000.0,77.94
6,9,2.5,20000.0,189.89
6,10,1.0,50000.0,534.79
6,19,10.0,5000.0,194.87
7,17,10.0,5000.0,61.27
7,18,10.0,5000.0,10.01
8,19,5.0,10000.0,12.31
9,18,10.0,5000.0,31.3
9,10,5.0,10000.0,725.05
11,22,10.0,5000.0,285.93
12,13,5.0,10000.0,16.39
12,21,5.0,10000.0,16.59
14,21,10.0,5000.0,32.36
15,21,1.0,50000.0,75.33
15,23,1.0,50000.0,49.28
16,20,5.0,10000.0,23.48
17,20,10.0,5000.0,146.46
18,19,5.0,10000.0,27.94
18,20,10.0,5000.0,154.85
20,22,10.0,5000.0,64.1
20,24,5.0,10000.0,67.89
21,23,5.0,10000.0,45.98
21,22,2.5,20000.0,19.21
23,24,10.0,5000.0,64.73
2,1,2.5,20000.0,50.43
20,1,2.5,20000.0,75.62
19,2,2.5,20000.0,20.08
20,3,5.0,10000.0,16.49
13,3,2.5,20000.0,15.22
16,4,10.0,5000.0,26.21
23,4,2.5,20000.0,18.97
24,4,2.5,20000.0,51.35
19,5,10.0,5000.0,35.44
8,5,5.0,10000.0,27.41
24,5,10.0,5000.0,77.94
9,6,2.5,20000.0,189.89
10,6,1.0,50000.0,534.79
19,6,10.0,5000.0,194.87
17,7,10.0,5000.0,61.27
18,7,10.0,5000.0,10.01
19,8,5.0,10000.0,12.31
18,9,10.0,5000.0,31.3
10,9,5.0,10000.0,725.05
22,11,10.0,5000.0,285.93
13,12,5.0,10000.0,16.39
21,12,5.0,10000.0,16.59
21,14,10.0,5000.0,32.36
21,15,1.0,50000.0,75.33
23,15,1.0,50000.0,49.28
20,16,5.0,10000.0,23.48
20,17,10.0,5000.0,146.46
19,18,5.0,10000.0,27.94
20,18,10.0,5000.0,154.85
22,20,10.0,5000.0,64.1
24,20,5.0,10000.0,67.89
23,21,5.0,10000.0,45.98
22,21,2.5,20000.0,19.21
24,23,10.0,5000.0,64.73
