srcNodeId,dstNodeId,cost,bandwidth,latency
1,8,23310.0,7560.0,13.37
1,14,96030.0,7560.0,58.61
1,15,49680.0,7560.0,33.48
1,19,48600.0,7560.0,32.84
2,26,122670.0,7560.0,61.86
2,31,71460.0,7560.0,28.76
2,36,135000.0,7560.0,63.56
3,21,68400.0,7560.0,37.45
3,22,45720.0,7560.0,25.05
3,30,111960.0,7560.0,54.68
4,9,42660.0,7560.0,20.45
4,31,43830.0,7560.0,23.41
4,36,49590.0,7560.0,29.76
5,10,48600.0,7560.0,22.36
5,15,34290.0,7560.0,23.93
5,24,68130.0,7560.0,30.33
5,28,37800.0,7560.0,18.77
5,35,69750.0,7560.0,46.49
6,14,54900.0,7560.0,27.31
6,19,21510.0,7560.0,15.3
7,21,75060.0,7560.0,34.58
7,22,68040.0,7560.0,38.36
7,27,67230.0,7560.0,31.93
8,12,23760.0,7560.0,18.03
8,27,35370.0,7560.0,20.01
9,17,39240.0,7560.0,18.63
9,28,60120.0,7560.0,33.58
10,25,64980.0,7560.0,29.47
10,32,69930.0,7560.0,40.39
11,14,41580.0,7560.0,22.22
11,19,62100.0,7560.0,39.53
12,13,24750.0,7560.0,16.58
13,15,53280.0,7560.0,24.78
13,24,41040.0,7560.0,23.74
13,33,24390.0,7560.0,14.15
16,25,106380.0,7560.0,83.12
16,32,53730.0,7560.0,42.97
16,35,123300.0,7560.0,50.57
17,35,34470.0,7560.0,17.27
18,19,177930.0,7560.0,90.8
18,21,67590.0,7560.0,35.75
18,30,42390.0,7560.0,23.35
19,27,46260.0,7560.0,24.54
20,22,36990.0,7560.0,18.21
20,27,53460.0,7560.0,26.66
20,37,45630.0,7560.0,26.91
22,29,81630.0,7560.0,44.6
23,24,46980.0,7560.0,24.11
23,29,64800.0,7560.0,31.32
23,37,29430.0,7560.0,15.46
24,34,48060.0,7560.0,30.97
26,29,57420.0,7560.0,25.34
27,33,54000.0,7560.0,34.53
28,34,33840.0,7560.0,19.07
29,36,70470.0,7560.0,33.28
33,37,19620.0,7560.0,12.3
34,36,36000.0,7560.0,17.33
8,1,23310.0,7560.0,13.37
14,1,96030.0,7560.0,58.61
15,1,49680.0,7560.0,33.48
19,1,48600.0,7560.0,32.84
26,2,122670.0,7560.0,61.86
31,2,71460.0,7560.0,28.76
36,2,135000.0,7560.0,63.56
21,3,68400.0,7560.0,37.45
22,3,45720.0,7560.0,25.05
30,3,111960.0,7560.0,54.68
9,4,42660.0,7560.0,20.45
31,4,43830.0,7560.0,23.41
36,4,49590.0,7560.0,29.76
10,5,48600.0,7560.0,22.36
15,5,34290.0,7560.0,23.93
24,5,68130.0,7560.0,30.33
28,5,37800.0,7560.0,18.77
35,5,69750.0,7560.0,46.49
14,6,54900.0,7560.0,27.31
19,6,21510.0,7560.0,15.3
21,7,75060.0,7560.0,34.58
22,7,68040.0,7560.0,38.36
27,7,67230.0,7560.0,31.93
12,8,23760.0,7560.0,18.03
27,8,35370.0,7560.0,20.01
17,9,39240.0,7560.0,18.63
28,9,60120.0,7560.0,33.58
25,10,64980.0,7560.0,29.47
32,10,69930.0,7560.0,40.39
14,11,41580.0,7560.0,22.22
19,11,62100.0,7560.0,39.53
13,12,24750.0,7560.0,16.58
15,13,53280.0,7560.0,24.78
24,13,41040.0,7560.0,23.74
33,13,24390.0,7560.0,14.15
25,16,106380.0,7560.0,83.12
32,16,53730.0,7560.0,42.97
35,16,123300.0,7560.0,50.57
35,17,34470.0,7560.0,17.27
19,18,177930.0,7560.0,90.8
21,18,67590.0,7560.0,35.75
30,18,42390.0,7560.0,23.35
27,19,46260.0,7560.0,24.54
22,20,36990.0,7560.0,18.21
27,20,53460.0,7560.0,26.66
37,20,45630.0,7560.0,26.91
29,22,81630.0,7560.0,44.6
24,23,46980.0,7560.0,24.11
29,23,64800.0,7560.0,31.32
37,23,29430.0,7560.0,15.46
34,24,48060.0,7560.0,30.97
29,26,57420.0,7560.0,25.34
33,27,54000.0,7560.0,34.53
34,28,33840.0,7560.0,19.07
36,29,70470.0,7560.0,33.28
37,33,19620.0,7560.0,12.3
36,34,36000.0,7560.0,17.33
