srcNodeId,dstNodeId,bandwidth,latency
25,24,408.0,78.31648365585879
22,20,1361.0,64.07
3,17,282.0,61.49983752877405
24,22,1147.0,64.07
10,11,486.0,62.26
9,2,379.0,60.586079428060856
15,1,301.0,36.16122316206436
1,14,612.0,60.72986283704477
11,8,865.0,132.27885211528525
3,25,544.0,37.48
13,9,204.0,77.6208724619112
1,9,1507.0,50.76168827309523
23,12,184.0,123.02178639033609
18,23,301.0,62.52
2,21,340.0,86.71403413163819
16,25,748.0,44.72412602060464
13,11,1098.0,80.33569342167814
19,14,155.0,68.45
9,8,184.0,44.17
7,1,1098.0,91.73840887032895
6,5,106.0,48.65
11,21,1050.0,67.50409967593372
12,21,204.0,78.28690761515617
17,8,612.0,91.12000089139683
20,8,651.0,114.59522153871484
11,24,447.0,63.41645117186039
8,9,213.0,44.17
