srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,200.0,2500.0,17.49
3,7,200.0,2500.0,16.5
3,9,200.0,2500.0,25.48
3,10,200.0,2500.0,24.86
5,4,200.0,2500.0,15.49
6,4,200.0,2500.0,17.35
6,5,200.0,2500.0,17.56
6,7,200.0,2500.0,18.3
6,8,200.0,2500.0,15.11
8,7,200.0,2500.0,18.73
8,9,200.0,2500.0,17.59
10,12,200.0,2500.0,18.19
11,10,200.0,2500.0,20.19
11,12,200.0,2500.0,16.73
13,14,200.0,2500.0,15.69
15,9,200.0,2500.0,27.31
15,11,200.0,2500.0,24.47
15,13,200.0,2500.0,20.08
15,14,200.0,2500.0,19.39
15,16,200.0,2500.0,17.9
15,18,200.0,2500.0,23.25
15,20,200.0,2500.0,19.42
15,21,200.0,2500.0,19.62
15,22,200.0,2500.0,21.24
15,25,200.0,2500.0,19.19
16,9,200.0,2500.0,29.23
16,10,200.0,2500.0,22.57
16,11,200.0,2500.0,20.48
16,12,200.0,2500.0,18.43
17,10,200.0,2500.0,16.94
17,16,200.0,2500.0,20.37
18,19,200.0,2500.0,16.64
20,19,200.0,2500.0,20.87
20,21,200.0,2500.0,17.01
20,24,200.0,2500.0,17.94
22,9,200.0,2500.0,23.53
22,20,200.0,2500.0,25.62
22,23,200.0,2500.0,17.59
22,24,200.0,2500.0,21.36
24,23,200.0,2500.0,17.84
25,1,200.0,2500.0,15.2
25,2,200.0,2500.0,18.39
25,3,200.0,2500.0,21.9
25,4,200.0,2500.0,16.33
25,9,200.0,2500.0,25.94
2,1,200.0,2500.0,17.49
7,3,200.0,2500.0,16.5
9,3,200.0,2500.0,25.48
10,3,200.0,2500.0,24.86
4,5,200.0,2500.0,15.49
4,6,200.0,2500.0,17.35
5,6,200.0,2500.0,17.56
7,6,200.0,2500.0,18.3
8,6,200.0,2500.0,15.11
7,8,200.0,2500.0,18.73
9,8,200.0,2500.0,17.59
12,10,200.0,2500.0,18.19
10,11,200.0,2500.0,20.19
12,11,200.0,2500.0,16.73
14,13,200.0,2500.0,15.69
9,15,200.0,2500.0,27.31
11,15,200.0,2500.0,24.47
13,15,200.0,2500.0,20.08
14,15,200.0,2500.0,19.39
16,15,200.0,2500.0,17.9
18,15,200.0,2500.0,23.25
20,15,200.0,2500.0,19.42
21,15,200.0,2500.0,19.62
22,15,200.0,2500.0,21.24
25,15,200.0,2500.0,19.19
9,16,200.0,2500.0,29.23
10,16,200.0,2500.0,22.57
11,16,200.0,2500.0,20.48
12,16,200.0,2500.0,18.43
10,17,200.0,2500.0,16.94
16,17,200.0,2500.0,20.37
19,18,200.0,2500.0,16.64
19,20,200.0,2500.0,20.87
21,20,200.0,2500.0,17.01
24,20,200.0,2500.0,17.94
9,22,200.0,2500.0,23.53
20,22,200.0,2500.0,25.62
23,22,200.0,2500.0,17.59
24,22,200.0,2500.0,21.36
23,24,200.0,2500.0,17.84
1,25,200.0,2500.0,15.2
2,25,200.0,2500.0,18.39
3,25,200.0,2500.0,21.9
4,25,200.0,2500.0,16.33
9,25,200.0,2500.0,25.94
