srcNodeId,dstNodeId,cost,bandwidth,latency
1,3,804.0,40000.0,58.48
1,5,598.0,40000.0,44.6
1,10,218.0,40000.0,16.35
1,16,6802.0,40000.0,502.57
1,20,277.0,40000.0,16.29
2,7,264.0,40000.0,16.48
2,14,186.0,40000.0,12.81
2,15,169.0,40000.0,9.65
3,7,410.0,40000.0,26.44
3,13,250.0,40000.0,18.19
4,5,411.0,40000.0,32.68
4,17,309.0,40000.0,19.2
4,21,290.0,40000.0,18.93
5,7,478.0,40000.0,36.53
5,8,1794.0,40000.0,105.59
5,11,1088.0,40000.0,85.37
5,13,518.0,40000.0,26.54
5,15,358.0,40000.0,24.87
5,19,1184.0,40000.0,72.17
6,7,1054.0,40000.0,58.49
6,13,1189.0,40000.0,77.42
6,18,503.0,40000.0,32.33
7,14,287.0,40000.0,22.14
7,22,343.0,40000.0,20.97
8,13,1453.0,40000.0,89.88
9,10,304.0,40000.0,20.34
9,20,115.0,40000.0,8.97
10,21,163.0,40000.0,12.24
11,22,463.0,40000.0,36.23
12,13,2658.0,40000.0,158.26
12,15,3296.0,40000.0,196.33
15,22,359.0,40000.0,29.21
16,22,5575.0,40000.0,412.23
17,19,777.0,40000.0,38.24
18,22,1588.0,40000.0,87.52
19,22,1426.0,40000.0,109.27
3,1,804.0,40000.0,58.48
5,1,598.0,40000.0,44.6
10,1,218.0,40000.0,16.35
16,1,6802.0,40000.0,502.57
20,1,277.0,40000.0,16.29
7,2,264.0,40000.0,16.48
14,2,186.0,40000.0,12.81
15,2,169.0,40000.0,9.65
7,3,410.0,40000.0,26.44
13,3,250.0,40000.0,18.19
5,4,411.0,40000.0,32.68
17,4,309.0,40000.0,19.2
21,4,290.0,40000.0,18.93
7,5,478.0,40000.0,36.53
8,5,1794.0,40000.0,105.59
11,5,1088.0,40000.0,85.37
13,5,518.0,40000.0,26.54
15,5,358.0,40000.0,24.87
19,5,1184.0,40000.0,72.17
7,6,1054.0,40000.0,58.49
13,6,1189.0,40000.0,77.42
18,6,503.0,40000.0,32.33
14,7,287.0,40000.0,22.14
22,7,343.0,40000.0,20.97
13,8,1453.0,40000.0,89.88
10,9,304.0,40000.0,20.34
20,9,115.0,40000.0,8.97
21,10,163.0,40000.0,12.24
22,11,463.0,40000.0,36.23
13,12,2658.0,40000.0,158.26
15,12,3296.0,40000.0,196.33
22,15,359.0,40000.0,29.21
22,16,5575.0,40000.0,412.23
19,17,777.0,40000.0,38.24
22,18,1588.0,40000.0,87.52
22,19,1426.0,40000.0,109.27
