srcNodeId,dstNodeId,cost,bandwidth,latency
13,15,3290.0,40.0,835.14
11,15,3290.0,40.0,835.73
49,15,3290.0,40.0,836.95
30,13,3290.0,40.0,835.13
1,30,3290.0,40.0,838.03
29,30,3290.0,40.0,838.0
36,11,3290.0,40.0,836.0
45,11,3720.0,40.0,837.94
26,11,3720.0,40.0,844.77
49,1,3720.0,40.0,837.27
47,1,3720.0,40.0,839.95
5,36,3290.0,40.0,838.33
40,36,3290.0,40.0,836.26
45,29,3290.0,40.0,837.32
17,29,3720.0,40.0,840.09
24,29,3720.0,40.0,838.83
47,29,3720.0,40.0,839.2
5,45,3720.0,40.0,840.08
20,45,3290.0,40.0,837.34
39,49,4150.0,40.0,847.25
37,49,4150.0,40.0,846.4
32,4,3720.0,40.0,841.83
12,4,4150.0,40.0,841.61
44,4,4150.0,40.0,845.44
33,4,3720.0,40.0,843.23
21,4,4150.0,40.0,841.84
12,32,3720.0,40.0,840.99
14,32,3720.0,40.0,841.0
33,32,3720.0,40.0,839.31
3,32,4150.0,40.0,842.17
14,12,4150.0,40.0,848.21
9,12,3290.0,40.0,837.88
9,14,3720.0,40.0,843.81
26,14,3720.0,40.0,842.0
50,14,3720.0,40.0,842.17
3,9,3720.0,40.0,842.25
33,44,4150.0,40.0,841.1
21,44,3720.0,40.0,844.51
22,44,3720.0,40.0,841.41
28,44,3720.0,40.0,841.86
6,33,3290.0,40.0,839.41
28,22,3720.0,40.0,837.61
23,22,3720.0,40.0,840.03
6,22,3720.0,40.0,841.05
39,7,3290.0,40.0,836.87
8,7,3290.0,40.0,836.13
23,7,3290.0,40.0,839.6
16,28,3290.0,40.0,837.73
37,39,3720.0,40.0,839.49
40,39,3720.0,40.0,838.01
8,16,3720.0,40.0,841.63
5,23,3720.0,40.0,840.33
6,23,3720.0,40.0,837.96
40,23,3720.0,40.0,842.7
6,5,3720.0,40.0,844.75
26,6,3720.0,40.0,841.13
20,26,3720.0,40.0,839.54
19,26,3720.0,40.0,837.62
10,17,3290.0,40.0,834.64
20,17,3290.0,40.0,835.82
19,17,3720.0,40.0,839.27
34,10,3290.0,40.0,835.71
24,10,3720.0,40.0,838.92
25,34,3290.0,40.0,836.01
43,24,3290.0,40.0,837.46
25,24,3290.0,40.0,837.66
19,20,3290.0,40.0,838.97
43,47,3290.0,40.0,836.8
50,19,3720.0,40.0,837.88
25,43,3720.0,40.0,841.06
25,46,3290.0,40.0,837.43
48,46,3290.0,40.0,838.6
31,46,3720.0,40.0,839.29
50,46,3720.0,40.0,840.8
18,25,3720.0,40.0,839.94
2,48,3290.0,40.0,838.38
18,31,3720.0,40.0,841.17
27,31,3720.0,40.0,839.65
2,35,3290.0,40.0,837.17
27,35,3720.0,40.0,840.64
41,35,3720.0,40.0,844.03
38,35,3720.0,40.0,841.64
42,35,3720.0,40.0,838.78
50,2,4150.0,40.0,842.79
42,41,3720.0,40.0,841.26
3,38,3290.0,40.0,837.0
