srcNodeId,dstNodeId,bandwidth,latency
7,49,35.0,2146.6683703285344
42,29,8.0,6021.250724055073
6,40,10.0,1681.02
38,14,35.0,1685.89
3,42,7.0,3013.5816887660635
30,16,19.0,7828.5303633157655
35,41,11.0,1686.55
13,3,6.0,5041.2394729553125
26,35,19.0,3363.8729761515633
48,9,6.0,4612.329497362822
44,41,10.0,5554.970635174065
43,25,8.0,1675.46
15,41,5.0,5879.499963702734
25,26,3.0,3447.5566377558266
19,40,5.0,3795.1240050746787
28,44,17.0,1678.68
26,32,19.0,2594.6796329714753
22,13,16.0,7674.303283216121
33,16,16.0,3422.159419857022
24,34,2.0,1674.82
16,25,3.0,6710.74820831249
41,49,19.0,6716.568039104176
24,46,4.0,3018.3917009780694
22,21,3.0,2677.078145774624
