srcNodeId,dstNodeId,bandwidth,latency
10,9,9.0,410.12
20,13,7.0,682.0989244212024
30,5,3.0,954.098325252278
38,37,10.0,222.74
35,39,11.0,647.7749739200045
35,8,3.0,1172.747921121623
5,38,5.0,878.6938794426915
6,17,4.0,1064.6276678594345
25,2,5.0,746.9971012599747
23,19,5.0,533.8971498682854
8,17,4.0,520.9068660701596
28,9,12.0,791.2482400721775
1,24,10.0,763.7763040967889
6,7,2.0,1061.7488562377348
23,8,7.0,898.136535644662
16,4,8.0,743.2100967212087
37,31,9.0,435.3192952084071
7,37,8.0,1101.0135392585512
14,31,6.0,904.5999579907233
21,13,5.0,599.45388696268
14,18,4.0,534.4107238735754
4,2,8.0,433.99
20,7,4.0,850.56390975292
28,25,3.0,636.70559405819
6,27,6.0,1048.910181180997
5,1,5.0,423.37
38,33,2.0,494.7808212296699
23,20,5.0,219.25
24,13,4.0,848.8922712496063
14,15,7.0,217.8
19,16,6.0,643.750256069644
31,21,9.0,1231.8073533220122
24,30,4.0,426.5959487945442
13,37,4.0,1090.9331427577038
8,33,3.0,1112.312586842954
16,29,2.0,694.4950767335599
36,7,8.0,1414.083479572537
6,22,6.0,668.126071141662
37,2,2.0,1079.1146536623924
36,25,6.0,1076.4741924302152
28,7,11.0,765.8902757855103
12,22,9.0,1480.4804503857658
26,29,4.0,587.1835035650954
16,17,8.0,217.95
7,22,5.0,1504.6511936935476
38,18,9.0,750.8102190561374
4,17,10.0,1233.8189205579952
13,2,3.0,878.7443944672867
14,28,8.0,820.620634405149
35,1,3.0,1150.2659617874876
14,21,9.0,692.3750846076518
10,19,11.0,1008.9746083872847
29,37,8.0,655.5223035478855
22,38,9.0,825.9540052916742
32,21,11.0,1030.0395607522937
36,1,5.0,1195.339426015057
30,9,10.0,770.5332983767173
10,32,10.0,727.3323945399799
29,28,3.0,425.36635272618554
27,35,4.0,227.32
1,23,5.0,1018.0707272369317
16,1,2.0,854.9982098152442
1,2,12.0,423.82
34,30,11.0,567.2179767526704
12,39,9.0,970.0762272884906
5,37,12.0,1221.921358900257
1,12,5.0,644.2831319325807
10,7,8.0,419.05
13,35,8.0,660.0141820398753
29,9,2.0,867.2415332908696
12,32,10.0,998.3238838830135
36,39,10.0,667.4466196842045
34,5,8.0,905.790483198414
23,3,4.0,993.1010376392098
27,32,11.0,641.3820186138496
33,20,12.0,646.5397626634771
35,24,8.0,641.811047880131
4,12,3.0,1124.644719205885
32,10,6.0,780.3291742873453
1,18,2.0,1240.4432339337573
31,38,10.0,651.5507432209017
39,36,8.0,675.408914483777
13,29,6.0,872.4105029254298
15,14,9.0,217.8
22,30,11.0,986.7702389909543
38,9,11.0,903.9899110108886
28,36,3.0,1212.519882507821
33,14,6.0,782.0677421004541
27,31,2.0,791.5128975227761
39,6,11.0,1118.4269600733553
36,32,4.0,1068.5381613085103
1,6,8.0,702.2237389352786
24,34,9.0,428.697139591556
4,11,12.0,770.2323656917745
20,22,4.0,644.5188832771435
20,37,12.0,649.6558128160428
23,11,2.0,1261.5876738135864
22,12,10.0,1394.4790018031374
15,22,12.0,1097.8049107126994
6,1,8.0,708.9581160717557
33,2,6.0,1044.2971477303313
9,13,10.0,224.76
2,29,11.0,1026.733491198351
21,10,8.0,983.8856945021374
31,25,3.0,215.52
39,4,6.0,1075.6408232512256
26,23,12.0,218.7
39,20,12.0,864.8051634170646
28,5,9.0,977.4395752157732
7,20,6.0,849.3425843119898
8,32,5.0,997.3733750509215
17,29,7.0,455.4241902887269
18,7,11.0,861.1435333747921
19,32,5.0,941.4908696437288
25,12,12.0,215.85
9,6,6.0,217.22
14,36,6.0,706.4271857521243
39,35,10.0,645.4050074858466
38,5,3.0,1030.370815048447
2,16,3.0,901.2022730037678
11,3,9.0,431.88691189706685
17,27,4.0,859.869446640289
16,23,12.0,220.57
28,32,11.0,223.37
37,15,11.0,1057.9278598998535
3,1,2.0,627.96
13,8,11.0,1334.547044872866
26,9,2.0,448.0003613026461
34,23,12.0,218.73
29,27,5.0,805.3649994988659
1,36,11.0,1062.5055776169881
33,30,10.0,687.7324093308932
36,9,3.0,1231.2026338046203
31,12,8.0,735.4724358680303
11,25,2.0,494.8345849472603
16,28,2.0,427.4498882293506
31,24,11.0,586.2670735483929
6,19,4.0,508.96444871336416
20,8,2.0,990.5668119279388
16,39,12.0,933.958096324462
15,6,10.0,641.269546864206
39,38,12.0,835.4497175559254
26,32,9.0,834.3114680076255
36,28,6.0,728.3597913841852
9,23,3.0,923.3825290611061
18,34,3.0,854.0220557125056
2,28,11.0,1223.5732864770428
12,3,5.0,939.389324433701
28,23,6.0,214.15
36,6,4.0,567.3062373091243
16,18,6.0,853.6782319745924
35,36,4.0,411.28
21,6,3.0,503.6019453494557
13,22,11.0,579.7246220424661
25,5,5.0,975.888160325693
32,33,5.0,491.2861040165762
25,14,6.0,856.7116397448167
22,2,8.0,1372.991401937204
18,37,8.0,827.1999485230164
25,9,8.0,912.9062074361557
2,11,8.0,638.0208860563454
10,28,5.0,609.3109946185768
