srcNodeId,dstNodeId,bandwidth,latency
3,38,364.0,156.81681459842312
4,8,913.0,132.83489457644967
33,21,75.0,301.12751383830073
31,12,179.0,181.69746213248436
8,18,960.0,327.348566844422
11,35,162.0,138.04014210077264
18,24,326.0,263.2705821062298
30,10,76.0,146.95803875790315
32,35,178.0,174.44843484314077
28,36,177.0,307.45045838877854
15,30,136.0,100.14086263998237
12,34,50.0,101.52783292547068
32,37,42.0,165.0665573428447
31,1,235.0,334.66312894408975
29,39,116.0,290.92823241700205
24,1,28.0,287.59229051032906
14,22,235.0,117.97668808521138
18,32,317.0,142.49260918673568
1,3,270.0,104.88470371734218
7,33,47.0,242.03061568062384
13,24,291.0,108.24094850757918
29,36,90.0,385.0533207570174
