srcNodeId,dstNodeId,cost,bandwidth,latency
1,34,405.0,1008.0,33.53
1,35,123.0,1008.0,33.17
2,3,327.0,1008.0,33.34
2,4,227.0,1008.0,33.26
2,39,102.0,1008.0,33.15
3,2,327.0,1008.0,33.34
3,36,529.0,1008.0,33.46
3,37,79.0,1008.0,33.13
4,2,227.0,1008.0,33.26
4,5,355.0,1008.0,33.35
4,37,373.0,1008.0,33.41
4,38,247.0,1008.0,33.27
5,4,355.0,1008.0,33.35
5,12,368.0,1008.0,33.43
5,34,695.0,1008.0,33.59
5,36,609.0,1008.0,33.65
5,37,509.0,1008.0,33.56
6,7,543.0,1008.0,33.55
6,8,644.0,1008.0,33.63
6,38,334.0,1008.0,33.36
7,6,543.0,1008.0,33.55
7,8,210.0,1008.0,33.23
7,9,229.0,1008.0,33.24
7,12,630.0,1008.0,33.6
7,32,407.0,1008.0,33.43
8,6,644.0,1008.0,33.63
8,7,210.0,1008.0,33.23
8,22,308.0,1008.0,33.34
9,7,229.0,1008.0,33.24
9,11,217.0,1008.0,33.24
10,11,389.0,1008.0,33.36
10,13,336.0,1008.0,33.38
10,33,363.0,1008.0,33.37
11,9,217.0,1008.0,33.24
11,10,389.0,1008.0,33.36
11,12,523.0,1008.0,33.58
11,16,228.0,1008.0,33.29
12,5,368.0,1008.0,33.43
12,7,630.0,1008.0,33.6
12,11,523.0,1008.0,33.58
13,10,336.0,1008.0,33.38
13,14,176.0,1008.0,33.21
13,15,243.0,1008.0,33.31
13,16,249.0,1008.0,33.27
14,13,176.0,1008.0,33.21
14,16,220.0,1008.0,33.28
14,17,236.0,1008.0,33.25
14,30,97.0,1008.0,33.16
15,13,243.0,1008.0,33.31
15,18,89.0,1008.0,33.15
15,28,195.0,1008.0,33.26
16,11,228.0,1008.0,33.29
16,13,249.0,1008.0,33.27
16,14,220.0,1008.0,33.28
16,32,244.0,1008.0,33.25
17,14,236.0,1008.0,33.25
17,21,317.0,1008.0,33.36
17,24,206.0,1008.0,33.24
17,32,192.0,1008.0,33.24
18,15,89.0,1008.0,33.15
18,19,401.0,1008.0,33.47
18,29,112.0,1008.0,33.17
18,30,214.0,1008.0,33.25
19,18,401.0,1008.0,33.47
19,23,179.0,1008.0,33.23
19,27,81.0,1008.0,33.14
19,28,345.0,1008.0,33.39
20,23,242.0,1008.0,33.27
20,28,301.0,1008.0,33.37
21,17,317.0,1008.0,33.36
21,24,218.0,1008.0,33.26
21,26,318.0,1008.0,33.33
21,31,492.0,1008.0,33.44
22,8,308.0,1008.0,33.34
22,24,407.0,1008.0,33.41
22,25,634.0,1008.0,33.6
22,32,352.0,1008.0,33.33
23,19,179.0,1008.0,33.23
23,20,242.0,1008.0,33.27
24,17,206.0,1008.0,33.24
24,21,218.0,1008.0,33.26
24,22,407.0,1008.0,33.41
24,31,396.0,1008.0,33.37
25,22,634.0,1008.0,33.6
25,31,193.0,1008.0,33.22
26,21,318.0,1008.0,33.33
26,27,125.0,1008.0,33.18
26,29,184.0,1008.0,33.24
27,19,81.0,1008.0,33.14
27,26,125.0,1008.0,33.18
28,15,195.0,1008.0,33.26
28,19,345.0,1008.0,33.39
28,20,301.0,1008.0,33.37
29,18,112.0,1008.0,33.17
29,26,184.0,1008.0,33.24
30,14,97.0,1008.0,33.16
30,18,214.0,1008.0,33.25
31,21,492.0,1008.0,33.44
31,24,396.0,1008.0,33.37
31,25,193.0,1008.0,33.22
32,7,407.0,1008.0,33.43
32,16,244.0,1008.0,33.25
32,17,192.0,1008.0,33.24
32,22,352.0,1008.0,33.33
33,10,363.0,1008.0,33.37
33,34,721.0,1008.0,33.92
34,1,405.0,1008.0,33.53
34,5,695.0,1008.0,33.59
34,33,721.0,1008.0,33.92
35,1,123.0,1008.0,33.17
35,36,128.0,1008.0,33.17
36,3,529.0,1008.0,33.46
36,5,609.0,1008.0,33.65
36,35,128.0,1008.0,33.17
37,3,79.0,1008.0,33.13
37,4,373.0,1008.0,33.41
37,5,509.0,1008.0,33.56
38,4,247.0,1008.0,33.27
38,6,334.0,1008.0,33.36
38,39,289.0,1008.0,33.33
39,2,102.0,1008.0,33.15
39,38,289.0,1008.0,33.33
