srcNodeId,dstNodeId,cost,bandwidth,latency
1,3,854.0,64.0,47.37
1,5,864.0,64.0,47.49
2,3,425.0,64.0,47.15
2,4,296.0,64.0,47.07
2,6,879.0,64.0,47.48
3,1,854.0,64.0,47.37
3,2,425.0,64.0,47.15
3,5,751.0,64.0,47.42
4,2,296.0,64.0,47.07
4,5,474.0,64.0,47.16
4,6,731.0,64.0,47.36
5,1,864.0,64.0,47.49
5,3,751.0,64.0,47.42
5,4,474.0,64.0,47.16
5,12,478.0,64.0,47.23
6,2,879.0,64.0,47.48
6,4,731.0,64.0,47.36
6,7,705.0,64.0,47.36
6,8,838.0,64.0,47.44
7,6,705.0,64.0,47.36
7,8,273.0,64.0,47.04
7,9,299.0,64.0,47.05
7,12,820.0,64.0,47.4
7,17,781.0,64.0,47.41
8,6,838.0,64.0,47.44
8,7,273.0,64.0,47.04
8,22,401.0,64.0,47.14
9,7,299.0,64.0,47.05
9,11,282.0,64.0,47.04
9,16,449.0,64.0,47.18
10,11,507.0,64.0,47.17
10,13,436.0,64.0,47.19
11,9,282.0,64.0,47.04
11,10,468.0,64.0,47.17
11,12,679.0,64.0,47.38
11,16,297.0,64.0,47.09
12,5,478.0,64.0,47.23
12,7,820.0,64.0,47.4
12,11,679.0,64.0,47.38
13,10,436.0,64.0,47.19
13,14,228.0,64.0,47.02
13,15,315.0,64.0,47.12
13,16,325.0,64.0,47.08
14,13,228.0,64.0,47.02
14,16,287.0,64.0,47.08
14,17,308.0,64.0,47.05
14,18,343.0,64.0,47.12
15,13,315.0,64.0,47.12
15,18,117.0,64.0,46.96
16,9,449.0,64.0,47.18
16,11,297.0,64.0,47.09
16,13,325.0,64.0,47.08
16,14,287.0,64.0,47.08
17,7,781.0,64.0,47.41
17,14,308.0,64.0,47.05
17,21,413.0,64.0,47.17
17,24,267.0,64.0,47.04
18,14,343.0,64.0,47.12
18,15,117.0,64.0,46.96
18,20,518.0,64.0,47.27
18,26,384.0,64.0,47.14
19,20,182.0,64.0,46.98
19,23,232.0,64.0,47.04
19,26,267.0,64.0,47.06
20,18,518.0,64.0,47.27
20,19,182.0,64.0,46.98
20,23,180.0,64.0,47.01
21,17,413.0,64.0,47.17
21,24,284.0,64.0,47.07
21,26,414.0,64.0,47.14
22,8,401.0,64.0,47.14
22,24,530.0,64.0,47.21
22,25,824.0,64.0,47.4
23,19,232.0,64.0,47.04
23,20,180.0,64.0,47.01
24,17,284.0,64.0,47.04
24,21,284.0,64.0,47.07
24,22,530.0,64.0,47.21
24,25,747.0,64.0,47.32
25,22,824.0,64.0,47.4
25,24,747.0,64.0,47.32
26,18,384.0,64.0,47.14
26,19,267.0,64.0,47.06
26,21,414.0,64.0,47.14
